,link,title,date time,desc,content
0,https://www.moneycontrol.com/news/business/markets/sbi-mf-garners-over-rs-900-crore-from-nifty50-index-fund-nfo-12187391.html,SBI MF garners over Rs 900 crore from Nifty50 index fund NFO,"February 03, 2024 09:24 PM IST","The new fund is an open-ended scheme replicating or tracking the Nifty50 equal weight index, effectively with a relatively lower cost as it is a passive offering.","The largest fund house SBI Mutual Fund has collected over Rs 900 crore through its new fund offer, the AMC said in a statement on Saturday. The fund house said it has received more than 40,000 applications for the Nifty50 equal weight index fund, which closed on January 29.The fund house recorded huge collections on the back of significant contributions from all distribution channels and strong interest from the direct channel, it added. The new fund is an open-ended scheme replicating or tracking the Nifty50 equal weight index, effectively with a relatively lower cost as it is a passive offering. The investment objective of the scheme is to provide returns that correspond to the total returns of the securities as represented by the underlying index, subject to tracking errors. The fund manager is Viral Chhadva."
1,https://www.moneycontrol.com/news/business/ipo/northern-arc-capital-files-ipo-papers-again-increases-fresh-issue-size-to-rs-500-crore-12187441.html,"Northern Arc Capital files IPO papers again, increases fresh issue size to Rs 500 crore","February 03, 2024 09:26 PM IST","Northern Arc Capital IPO | The IPO comprises a fresh issuance of shares worth Rs 500 crore, and an offer-for-sale of 2.1 crore equity shares by several investors.","Chennai-based financial services company Northern Arc Capital has filed the preliminary papers again with the SEBI for fund raising via public issue on February 2.The IPO comprises a fresh issuance of shares worth Rs 500 crore, and an offer-for-sale (OFS) of 2.1 crore equity shares by several investors.LeapFrog Financial Inclusion India, Accion Africa-Asia Investment Company, Augusta Investments II, Eight Roads Investments Mauritius, Dvara Trust, 360 ONE Special Opportunities Fund, and Sumitomo Mitsui Banking Corporation will be the selling shareholders in the OFS.The professionally managed non-banking finance company may also consider fund raising up to Rs 100 crore, before the filing of red herring prospectus with the ROC, which is a pre-IPO placement.Earlier it had filed the IPO papers in July 2021 and received approval for the same from the capital markets regulator in September 2021, but could not hit Dalal Street within a period of one year from the SEBI approval. The media report had indicated that the total IPO size was around Rs 1,800 crore comprising a fresh issue of Rs 300 crore worth of shares, and an OFS of 3.65 crore equity shares.Also read: Kronox Lab Sciences refiles IPO papers with only OFS component, drops fresh issueThe weakness in equity markets as well as the banking & financial services space since the start of October 2021 might be one of the reasons for not launching the issue within the permitted period.The diversified NBFC is planning to utilise the fresh issue proceeds for its future capital requirements towards onward lending.As per the capital adequacy norms issued by the RBI, the firm is required to have a regulatory minimum capital to risk-weighted assets ratio (CRAR) of 15 percent consisting of Tier I and Tier II capital. Further, it is required to ensure that total Tier-II capital, at any point in time, does not exceed 100 percent of the Tier-I capital.Also read: Apeejay Surrendra Park Hotels IPO: 10 things to know before buying into Rs 920-cr issueThe CRAR at the end of September 2023 was 19.92 percent, against 20.77 percent at the end of March 2023.Northern Arc Capital with total assets under management (AUM) of Rs 10,081.1 crore for the six-month period ended September FY24 recorded total disbursements of Rs 6,550 crore during the same period serving the majority to MSME finance, microfinance institutions, and consumer finance segments.The firm has reported a net profit at Rs 242.2 crore for the year ended March FY23, growing 33 percent over a year-ago period, and net interest income during the same period increased by 60 percent to Rs 591 crore.Profit for the six months ended September FY24 came in at Rs 150 crore, with net interest income at Rs 419.2 crore and total revenue from operations at Rs 838 crore.Also read: Aadhar Housing Finance refiles draft papers for Rs 5,000 crore IPOOn the asset quality front, the gross non-performing assets (NPA) stood at 0.42 percent and net NPA at 0.16 percent in the first half of FY24, while the gross NPA increased to 0.77 percent in FY23, from 0.5 percent in FY22, and net NPA also jumped to 0.4 percent from 0.21 percent in the same period.ICICI Securities, Axis Capital, and Citigroup Global Markets India are acting as merchant bankers for the issue."
2,https://www.moneycontrol.com/news/business/ipo/kronox-lab-sciences-refiles-ipo-papers-with-only-ofs-component-drops-fresh-issue-12187111.html,"Kronox Lab Sciences refiles IPO papers with only OFS component, drops fresh issue","February 03, 2024 06:54 PM IST",Kronox Lab Sciences public issue comprises only an offer-for-sale (OFS) of 96 lakh equity shares by promoters.,"Gujarat-based Kronox Lab Sciences has filed draft papers with the capital markets regulator SEBI for fund raising via initial public offering for second time in around two months after the first filing.As per the latest draft prospectus dated January 25, 2024, the public issue comprises only an offer-for-sale (OFS) of 96 lakh equity shares by promoters.Promoters Jogindersingh Jaswal, Ketan Ramani, and Pritesh Ramani will be selling 32 lakh shares each in the OFS.Earlier it had filed the draft red herring prospectus on November 24, 2023. As per the said draft papers, the IPO was a mix of fresh issuance of shares worth Rs 45 crore, and an OFS of 78 lakh equity shares by the above-mentioned three promoters.Also read: Apeejay Surrendra Park Hotels IPO | Anchor investors pick Rs 409 crore worth sharesPromoters had planned to sell 26 lakh equity shares each. It was planning to use the fresh issue money mainly for working capital requirements amounting to Rs 30.4 crore, and the remaining for general corporate purposes.The high purity speciality fine chemicals maker, as per the latest IPO papers filing, will not receive any money from the public issue, and all the money, excluding issue expenses, will go to selling shareholders, i.e. promoters.Kronox Lab Sciences is 100 percent owned by promoters with Jogindersingh Jaswal and Ketan Ramani holding 34.99 percent shares each, and Pritesh Ramani 30 percent stake in the company, at the time of filing the latest draft papers.Also read: Aadhar Housing Finance refiles draft papers for Rs 5,000 crore IPOThe high purity speciality fine chemicals are used mainly by companies making pharmaceutical, agrochemical, metal refineries, personal care, and animal health products.It has more than 185 products including phosphate, sulphate, acetate, chloride, citrate, nitrates, nitrites, carbonate, EDTA derivatives, hydroxide, succinate, and gluconate which are supplied to customers in India and more than 20 countries globally.Kronox does not have any debt on its books as per the financials reported till December 2023, while the finance cost for the nine months ended in December FY24 (9MFY24) was nil against Rs 0.09 crore in the same period last year.The firm has recorded a net profit of Rs 15.5 crore for 9MFY24, growing 9.8 percent over the same period last year, but revenue during the same period dropped 8.6 percent year-on-year to Rs 67.7 crore. The profitability was boosted mainly by operating numbers with a fall in input cost, as EBITDA (earnings before interest, tax, depreciation, and amortisation) grew by 14.4 percent on-year to Rs 20.5 crore with margin expansion of 610 basis points at 30.2 percent for 9MFY24.Further, for the financial year 2022-23, net profit increased by 22 percent to Rs 16.6 crore compared to previous year, and in the same period, revenue from operations rose 16.2 percent to Rs 95.6 crore YoY.Pantomath Capital Advisors is the sole book-running lead manager to the issue."
3,https://www.moneycontrol.com/news/business/earnings/kims-hospital-q3-net-profit-down-6-4-to-rs-76-5-crore-12185221.html,KIMS Hospital Q3 net profit down 6.4% to Rs 76.5 crore,"February 03, 2024 06:27 PM IST","Bed occupancy in the quarter was at 72.2 percent, up by 3.9 percent compared with the same period a year ago.","KIMS Hospitals on February 3 reported a 6.4 percent fall in consolidated net profit to Rs 76.5 crore for the quarter ended December 31, 2023, as against Rs 81.8 crore during the same period a year ago.Revenue for the quarter increased by 7.1 percent to Rs 601 crore, from Rs 568 crore in the same quarter last year.Consolidated EBITDA (earnings before interest, taxes, depreciation, and amortization) declined by 4.6 percent on a YoY and 16.5 percent on a QoQ basis to Rs 150 crore. Consolidated EBITDA (excluding other income) margin stands at 24.3 percent, showing a decline of 2.9 percent from previous quarter.“We have seen a dip in patient footfalls this quarter. Traditionally, this happens to be slack season on account of festivals. Besides, the cyclone in Andhra Pradesh and assembly elections in Telangana have shown some impact. But I am particularly pleased to see that all our units havecontinued to produce excellent clinical outcomes. We should be opening our Nashik unit in Q1FY25. I am optimistic that we are on track to achieve our targets for FY24,” said Dr. B Bhaskar Rao, CMD, KIMS Hospitals.Bed occupancy in Q3 FY24 stood at 72.2 percent, up by 3.9 percent YoY and down by 4.2 percent on QoQ basis.Average Revenue per Occupied Bed (ARPOB) decreased marginally to Rs 30,741 in Q3 FY24, marking a 3.1 percent increase on-year and 1.3 percent decrease on sequential basis."
4,https://www.moneycontrol.com/news/business/markets/pre-election-rally-to-take-nifty-to-23400-levels-by-june-2024-12186761.html,Pre-election rally to take Nifty to 23400 levels by June this year: ICICI Direct,"February 03, 2024 06:17 PM IST",A double bottom in Februar-March period is possible and such volatility should be embraced as a buying opportunity,"A pre- election rally can take Nifty to 23400 levels by June 2024, according to a trading strategy report released by ICICI Direct.With Nifty 50 touching all-time highs on February 2 after the budget day, there is wide anticipation of increased volatility ahead of the main event of the year i.e. general elections.Nifty has given positive returns in each of the past 8 years. Market participants are eagerly anticipating another set year of good returns as the macroeconomic indicators strengthen in India aided by steady increase in aggregate demand in the country.The ICICI Direct report gives the following reasons why it believes Nifty can rally to 23400 by June:1.      Empirically, in a general election year, Nifty has a tendency to bottom out in February-March, followed by a minimum 14 percent rally towards the election outcome in each of seven instances over past three decades.2.      Usual bull market corrections in Nifty are around 8 percent (multiple cycle average) followed by new highs. As 4.5 percent correction (from life high of 22124) is behind us, model indicate strong support in 20500-20800 which we expect to hold3.      Bottom up chart study of Nifty constituents projects further upsides across sectors and heavyweights after many stocks coming out of large periods of consolidations, thus supporting bullish stance.The report further highlights the percentage of stocks above 200-day moving average is above 80 percent even in corrective phase, thus indicating strong underlying strength, according to the Technical Strategy report by ICICI Securities.So far this year, we have seen double digit gains in Nifty Oil & Gas, Nifty CPSE, Nifty PSE, Nifty PSU Bank and Nifty Energy index. Nifty Oil & Gas index is leading the current rally, up by more than 16 percent on year-to-date basis. Index heavyweight RIL is up by more than 12 percent on year-to-date basis while ONGC and IOC have soared by more than 25 percent.On February 2 , the global markets traded with optimism even as S&P 500 made record highs and big tech companies contributed the most to the index gains.Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.Disclaimer: Moneycontrol is a part of the Network18 group. Network18 is controlled by Independent Media Trust, of which Reliance Industries is the sole beneficiary."
5,https://www.moneycontrol.com/news/business/markets/sp-500-at-record-highs-but-what-is-the-advance-decline-ratio-on-nyse-suggesting-12186411.html,S&P 500 at record highs but what is the advance decline ratio on NYSE suggesting?,"February 03, 2024 04:02 PM IST","The jump in S&P 500 index is mainly on good earnings of most mega cap technology companies, barring Apple and Google. These entities constitute a major portion in the top 10 highest weighted companies in the index.","S&P 500 index that tracks the performance of the largest 500 companies in the US gained by 1.1 percent to close at 4,958.61, thereby making a record high on February 2.While closing higher by more than 1 percent is not something investors have not seen before, this is only the second day in 62 years when the S&P 500 jumped 1 percent on a day when there were two losers for every winner on the NYSE exchange.The other was the day after 'Black Monday' -- a reference to the unexpected massive crash of stock markets on October 19, 1987.Dow Jones Industrial Average (DJIA) dropped by 22.67 percent and S&P 500 index declined by 20.4 percent on the historic day. It was the biggest decline in a single day in the history of the US markets. The markets eventually saw fast recovery with DJIA recovering more than 500 points within a week.IT stocks continue to contribute to S&P 500 rallyIT stocks dominated the S&P 500 gains nudging the index to record highs. This indicated that the AI- powered tech boom is at play in market for 2024 as well. The tech companies contributed to around 70 percent of the S&P 500 gains in 2023. The IT sector portion of the S&P 500 index gained 57.8 percent when S&P 500 clocked gains of around 26 percent in 2023. Almost 75 percent of the S&P 500 index constituents underperformed in 2023, highlighting the dominance of the IT sector.The weightage of IT sector stocks is steadily seen increasing in the S&P 500 index. It stands at around 27 percent, highest for any single industry. The top 10 companies out of which 7 are technology related, constitute nearly 38 percent of the total market capitalisation of S&P 500 index which stands at $41.128 trillion. The biggest 10 index constituents by market capitalisation made up to 31 percent of the index market capitalisation as on August 31 , 2023.The outsized performance of the IT sector stocks and especially the ‘Magnificent seven stocks’ is responsible for the increase in the IT sector weightage in the index. Nvidia shares jumped higher by more than 213 percent in the past one year.Magnificent seven stocks includes Meta, Tesla , Amazon, Alphabet, Apple, Microsoft and Nvidia.History was created when the shares of Meta (formerly Facebook) jumped higher by 20 percent adding $204.5 billion to its market capitalisation in a single day. Before this, the biggest single day valuation gain record belonged to Amazon when it added $191.3 billion in February 2022. Meta Inc announced dividends for the first time and also declared a stock buy-back plan worth $50 billion, adding to the optimism.Why are IT stocks rallying in US?According to Rama Ratnam, Director and CIO, Centrum International Services Pte Limited, “The jump in S&P 500 index is mainly on good earnings of most mega cap technology companies barring Apple and Google which constitute a major portion in the top 10 highest weighted companies in the index. The main reason for the optimism in the big tech companies is the perceived high growth in the tech portion of the S&P 500 index versus slow growth for the others.”The reason behind the market rally, apart from the earnings growth, is the strong economic data, experts said. In such a scenario, few are preferring to trade in strong economy with lower rate cut possibility than with higher rate cut possibility and poor economic growth, they pointed out.The strong economic data is leading to higher probability of soft landing which is a positive outcome for the markets, some experts believe. The recent jump in the yield on the 10 year Treasury note in US was not high enough to stop the equity market from rallying as MSCI World Index made record highs along with S&P 500 index.It is not surprising given the mega market capitalisation combined with the growth performance of big tech companies and increased index weightage that we see the indices making new highs even as the advance decline ratio continues to be in favor of the declines while other sectors fail to deliver growth.Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
6,https://www.moneycontrol.com/news/business/earnings/sbi-q3-results-net-profit-plummets-35-to-rs-9163-crore-asset-quality-healthy-12185281.html,"SBI Q3 results: Net profit plummets 35% to Rs 9,163 crore, asset quality healthy","February 03, 2024 02:21 PM IST","SBI Q3 results: The net interest income (NII) of the country's largest bank stood at Rs 39,815 crore, missing estimates of Rs 40,304 crore.","The State Bank of India (SBI), on February 3, reported a net profit of Rs 9,163 crore for the October-December quarter of the financial year 2023-24, marking a 35 percent fall as compared to Rs 14,205 crore clocked in the year-ago period. The net profit missed an average of five brokerage estimates of Rs 13,525 crore.The lender, in a press release said that they had an one-time exceptional item of Rs 7,100 crore.hThe net interest income (NII) of the country's largest bank stood at Rs 39,815 crore, missing estimates of Rs 40,304 crore. Net interest margin of the lender stood at 3.22 percent.The bank's gross non-performing asset (NPA) stood at 2.42 percent, down from 3.14 percent recorded in the corresponding quarter last year. On the other hand, net NPA for the quarter stood at 0.64 percent compared to 0.77 percent last year.Shares of SBI closed at Rs 650.40 a piece on the BSE on February 2."
7,https://www.moneycontrol.com/news/business/markets/hdfc-bank-icici-bank-jointly-float-residential-mortgage-backed-securities-firm-rdcl-12185641.html,"HDFC Bank, ICICI Bank jointly float residential mortgage-backed securities firm RDCL","February 03, 2024 12:54 PM IST","RMBS Development Company (RDCL) will have ten banks and financial institutions as its shareholders, the lenders informed exchanges.","Two of India's biggest lenders HDFC Bank and ICICI Bank have jointly floated a company called RMBS Development Company Limited to promote the residential mortgage-backed securities market. The two lenders have acquired a 7 percent stake each in a newly formed company, they informed in separate regulatory filings on February 2.RMBS Development Company (RDCL) will have ten banks and financial institutions as its shareholders, the lenders informed exchanges. However, they have not named other shareholders of the proposed company.Both HDFC Bank and ICICI Bank have invested Rs 35 crore each in RDCL, which is expected to be operational by the end of March.The primary objective of RDCL is to promote and develop the RMBS market by investing in them, facilitating investment, issuance, and trade of RMBS, extending credit enhancement (including second loss credit enhancement) for RMBS transactions, and providing liquidity support in the secondary market for RMBS transactions, said HDFC Bank.Also Read | SEBI suggests nomination for jointly-held investments to be made optionalMeanwhile, ICICI Bank in its filing said, ""The Target Entity proposed to be established with shareholding by financial institutions, banks and non-banking financial companies/housing finance companies to act as a market intermediary for the promotion and development of residential mortgage-backed securities (RMBS) market.""On February 2, HDFC Bank shares ended 1.5 percent lower at Rs 1,443, while ICICI Bank shares ended marginally in the red at Rs 1,023.It is worth noting that residential mortgage-backed securities (RMBS) represent aggregated home loan portfolios supported by payments of principal and interest from individual borrowers. Typically, lenders combine retail home loans into a pool, which is then sold as pass-through certificates (PTC).Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
8,https://www.moneycontrol.com/news/business/budget/daily-voice-full-budget-likely-to-be-more-energetic-for-economic-development-says-union-amc-ceo-12184791.html,"Daily Voice | Full budget likely to be more energetic for economic development, says Union AMC CEO","February 03, 2024 01:01 PM IST","There is a very clear indication that the government will continue to focus on infrastructure growth. There is a 11 percent growth in capex in this interim budget, says G Pradeepkumar of Union AMC.","""I would summarize the budget as 'Prudent, growth oriented and pragmatic',"" G Pradeepkumar, Chief Executive Officer at Union Asset Management Company says in an interview to Moneycontrol. He rated the budget 10 out of 10.Union AMC has been positive on the electric vehicle (EV) segment and remains convinced about the prospects. The budget has really reaffirmed their confidence in the prospects of this sector, he says.After reading the interim budget, G Pradeepkumar with more than 21 years of experience in investment funds business says the full budget post general elections is expected to be more energetic with a view to achieve strong economic growth in coming years. ""The government will spend its resources on areas that spur long term growth and not on short term populist measures.""What is your rating on the budget (1 out of 10) and why? Also how do you summarize the budget in maximum 5 words?I would give it 10. Fiscal discipline is the highlight of the budget. Increase in capex and restricted borrowing should really support long term growth. Given the fact that this was a limited exercise, the Government has stayed away from populist measures even in the face of elections.The spending is clearly focussed on areas that can support sustainable long term economic growth.I would summarize the budget as “Prudent, growth oriented and pragmatic.”Also read: FM: Growth robust; reforms yielding results, inflation manageable; open for SBI, ONGC disinvestmentWhat are the hits and misses from the budget?Hits: Fiscal prudence even with conservative estimates on nominal GDP and tax revenues. Increase in capex and infrastructure spending. The lower-than-expected fiscal deficit should also help in India getting rerated by the international credit rating agencies. Lower interest rates could stimulate private sector capex also.There are no real misses since this is not a full budget and one did not expect any big announcements.Which are the sectors to get majorly benefitted from the budget?The budget is very positive for bond yields. Borrowing costs may go down for the corporate sector. Interest rate sensitive sectors such as infrastructure related sectors, banks, capital goods etc. may benefit.Also read: Paytm Bank fiasco: Are your investments using Paytm Money safe?FY25 budget gap target at 5.1 percent of GDP. What is your take and do you have similar expectations?The 5.1 percent is better than what most people expected and is a strong positive signal for the economy and the markets. The fiscal prudence is expected to bring down the cost of borrowing for both the government and for the private sector both domestically and in the international markets. There is also a tight leash on subsidies.What are your views on electric vehicle (EV) and ancillary space after the budget?We have been positive on the EV segment and remain convinced about the prospects. The budget has really reaffirmed our confidence in the prospects of this sector.Also read: Opinion: Sitharaman's growth push finds a dependable ally in RBIAfter reading the interim budget, do you expect the full budget scheduled to be announced post general elections to be more energetic with a view to achieve strong economic growth in coming years?Absolutely. The intent of the government has been clearly spelt out in this interim budget. The government will spend its resources on areas that spur long term growth and not on short term populist measures.Infrastructure investments, support to manufacturing sector and to youth, women and farmers etc. are likely to boost employment generation also. The government has put out numbers on revenue and expenditure that appear to be conservative and which can be achieved.Do you expect the government to keep focussing more on infrastructure space given the increasing capex outlay for FY25?There is a very clear indication that the government will continue to focus on infrastructure growth. There is a 11 percent growth in capex in this interim budget.The railways are expected to continue to get upgraded. The subsidies are expected to be marginally lower. The intent of the government clearly seems to be make India a Developed Country by 2047. Infrastructure development is an integral part of it.Disclaimer: The views and investment tips expressed by experts on Moneycontrol are their own and not those of the website or its management. Moneycontrol advises users to check with certified experts before taking any investment decisions."
9,https://www.moneycontrol.com/news/business/budget/target-5-1-fiscal-deficit-for-fy25-a-big-positive-no-tinkering-with-tax-structure-seen-in-full-budget-12184811.html,"Target 5.1% fiscal deficit for FY25 a big positive, no tinkering with tax structure seen in full budget","February 03, 2024 12:58 PM IST",The central government has not walked down the populism route in the run-up to the Union budget.,"By Indranil Pan, Chief Economist at YES BankAs was expected, the Interim Budget is devoid of any policy announcements. However, it has ticked off the right boxes so far as the policy intentions of the government of the future are concerned and has also taken consolidation seriously by targeting for a 5.1 percent GFD/GDP in FY25. This is just an interim step towards the 4.5 percent FD/GDP for FY26 which the Finance Minister appear to be confident of achieving. The present government’s fundamental goal of policy making – to achieve inclusive growth and development remains intact.Indeed, in her speech, the FM laid stress on how the policies of the government have been targeted to address “systemic inequalities” in the system. The Poor, Women, Youth and Farmers continue to remain in focus. The efforts of the government with regards to boosting farmers’ incomes will be stepped up. The government indicated that the focus is on the outcomes and not on outlays with an aspiration towards achieving socio-economic transformation.Also read: FM: Growth robust; reforms yielding results, inflation manageable; open for SBI, ONGC disinvestmentWe had been indicating that with the current macro conditions, especially with real GDP growth anticipated at 7.3 percent for FY24 after a 7.2 percent in FY23, there would possibly not be any requirement for a Keynesian push. And this Budget does not take this route as there have been no changes that have been announced to the tax side. Thus, the central government has not walked down the populism route in the run-up to the Union budget. We even remain confident that the full Budget that will be announced around June 2024, the government would not want to tinker with the tax structure further and continue to focus on compliance for generation of resources.Notably, one big support to the economy during Covid and even after has been the government’s thrust on capital expenditures. And this budget has maintained the focus on capacity building through investments. While revenue expenditures are up by a mere 3.2 percent, on-budget capital expenditure budget has expanded 16.9 percent. Capital expenditures are now at 3.4 percent of GDP for FY25, compared to 3.2 percent of GDP in FY24. Consequently, share of revenue expenditure in GDP is down to 11.2 percent in FY25, compared to 11.9 percent in FY24.Also read: Nirmala Sitharaman terms Interim Budget 2024 'secularism in action'And, capex/revenue expenditure ratio has further improved to 30 percent for FY25, compared to 27 percent in FY24 – a significant positive. Important to note that the government has curtailed its budget allocations towards subsidies – specifically fertilizer subsidies. Global oil prices have proved to be volatile and given the current geopolitical skirmishes, crude oil prices have refused to move lower. In the final analysis, the government may be seen to overstep on the fertilizer subsidies.On the capital expenditure side, the focus continues to be on roads and railways, that corners around 50 percent of the capex budget. For the railways, projects have been identified under the PM Gati Shakti and aims at improving logistics efficiency and reducing costs. This is of utmost importance, given that logistics costs remain high in India, thereby restricting the competitive edge for Indian manufacturers, even as the government has long moved ahead and had reduced the corporate tax rates to ASEAN standards. The other point of highlight in the capex budget is that earmarked for defence – share of capex to this segment has now drastically reduced to 16 percent compared to around 32 percent in FY22.The big positive surprise in this Budget is to target a 5.1 percent GFD/GDP for FY25. Other important fiscal metrics, such as, primary deficit and revenue deficit are also seen to improve significantly in FY25 to 1.5 percent (2.3 percent in FY24) and 2.0 percent (2.8 percent in FY24) respectively. This has enabled the government to restrict its gross borrowing number to Rs 14.13 lakh crore for FY25, compared to Rs 15.43 lakh crore in FY24.The comfort on the supply side is also to be seen against a likely comfort from the demand side due to the inclusion of India in the JPM Bond Index. This led to a large 10 bps rally in the India G-sec 10-year benchmark yield, that closed the day at 7.06 percent and is likely to go lower to around 6.75 percent as the RBI also starts its policy rate cutting cycle sometime in FY25.Effectively, given that the risk-free yields are likely to be lower in FY25 compared to FY24, the borrowing costs of the corporates are also likely to come off. The hope here is that the private sector should again take up the mantle of capex, thereby closing the virtuous cycle and lead India to a faster and sustainable growth in the coming years.Disclaimer: The views and investment tips expressed by experts on Moneycontrol are their own and not those of the website or its management. Moneycontrol advises users to check with certified experts before taking any investment decisions."
