name,link
Abrasives,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/abrasives.html
Aerospace & Defence,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/aerospace-defence.html
Agriculture,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/agriculture.html
Air Conditioners,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/air-conditioners.html
Airlines,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/airlines.html
Aluminium & Aluminium Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/aluminium-aluminium-products.html
Amusement Parks/Recreation/Club,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/amusement-parksrecreationclub.html
Aquaculture,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/aquaculture.html
Auto Ancillaries,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries.html
Auto Ancillaries - Air Conditioning Parts,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-air-conditioning-parts.html
"Auto Ancillaries - Auto, Truck & Motorcycle Parts",https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-auto-truck-motorcycle-parts.html
Auto Ancillaries - Axle shafts,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-axle-shafts.html
Auto Ancillaries - Bearings,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-bearings.html
Auto Ancillaries - Brakes,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-brakes.html
Auto Ancillaries - Bus Body,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-bus-body.html
Auto Ancillaries - Castings/Forgings,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-castingsforgings.html
Auto Ancillaries - Clutches,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-clutches.html
Auto Ancillaries - Diesel Engines,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-diesel-engines.html
Auto Ancillaries - Engine Parts,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-engine-parts.html
Auto Ancillaries - Gears,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-gears.html
Auto Ancillaries - Head lamps & lights,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-head-lamps-lights.html
Auto Ancillaries - Others,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-others.html
Auto Ancillaries - Pistons,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/auto-ancillaries-pistons.html
