Name,Sector,Link,Website,About us
Carborundum Universal Ltd.,Abrasives,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,http://www.cumi-murugappa.com,"Carborundum Universal Ltd,popularly known as CUMI, is engaged in manufacturing of coated and bonded abrasives, super refractories, electrominerals, industrial ceramics and ceramic fibres inIndia.The company operates mainly in three business segments Abrasives,Ceramics and Electrominerals.Major user industries for abrasives are automobiles, woodworking, machinery, floor restoration, construction and bearings. Ceramic user industries are mainly cement, steel, fabrication, petroleum, etc..The company also in the business segment of Ceramics, Abrasives, Electrominerals."
Grindwell Norton Ltd.,Abrasives,https://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,http://www.grindwellnorton.co.in,"Grindwell Norton Ltd is Indias leading manufacturer of abrasives (bonded, coated, non-woven, superabrasives and thin wheels) and silicon carbide. The company also manufactures and markets high performance refractories and performance plastics products. They also manufacture ceramics which has a wide range of industrial applications ranging from high temperature refractories, wear parts, fused cast ceramics to filters for chemical plants and much more."
Wendt (India) Ltd.,Abrasives,https://www.moneycontrol.com/india/stockpricequote/abrasives/wendtindia/WI05,http://www.wendtindia.com,"Wendt (India) Ltd is a leading producer of Diamond / CBN products in India.The company offers a full range of wheels for various applications in Tool Making, Automotive Industry, Steel Plants, Glass Industry, Refractory Industry, Ceramic Industry and general tool rooms including specific solutions to customers needs.The product range of the company includes Diamond / CBN products in India,Resin,Metal,Electroplated,Vitrified Bonded,Diamond,CBN-Tools,Diamond Dressers and Hones..The company also engagged in the business of Super Abrasives, Machines, Accessories and Components."
Apollo Micro Systems Ltd.,Aerospace & Defence,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/apollomicrosystems/AMS,https://apollo-micro.com,"Apollo Micro Systems (AMS), estd in 1985 is pioneer in Design, Development and assembly of Custom Built Electronics and Electro-mechanical solutions. AMS offer solutions based on state of the art technologies for Aerospace, Defense & Space as primary customers and also caters solutions for Railways, Automotive and Home Land Security markets. Our wide spectrum of technological solutions and end to end design, assembly & testing capabilities gives us an edge over the competition."
Bharat Electronics Ltd.,Aerospace & Defence,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/bharatelectronics/BE03,http://www.bel-india.com,"Bharat Electronics Limited (BEL) was set up at Bangalore by the Government of India under the Ministry of Defence to meet the specialised electronic needs of the Indian defence services. Over the years, it has grown into a multi-product, multi-technology, multi-unit company serving the needs of customers in diverse fields in India and abroad.The products of the company include products for communication, radars, naval systems, opto electronics, Electronic Warfare systems, weapon system, tank electronics and simulators,switching equipment, TV and broadcast, DTH, telecom, simputer, electronic voting machines ,electronic components &also offers a range of services such as contract manufacturing, design and manufacturing services, semiconductor device packaging, software development and quality assurance facilities."
Data Patterns (India) Ltd.,Aerospace & Defence,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/datapatternsindia/DPI01,http://www.datapatternsindia.com,Data Patterns is a vertically integrated Defence and Aerospace electronics solutions provider catering to the indigenously developed defence products industry. Data Patterns' key strength is founded on over two decade history of developing high reliability products in this domain with the broad capability to develop and manufacture any high reliability product. Data Patterns has developed several electronic systems for it's customers with the support of it's captive manufacturing facility and attention to detail. Data Patterns achieves it's philosophy of manufacturing products with the reliability of life span expected in it's market domain.
Dreamfolks Services Ltd.,Aerospace & Defence,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/dreamfolksservices/DS09,http://www.dreamfolks.in,"DreamFolks are one of the largest global travel and lifestyle services aggregator, dedicated towards elevating the airport experience for travellers through our cutting-edge technology platform.  Since our inception in 2013, DreamFolks have evolved from offering lounge access services to offering a full suite of premium travel and lifestyle services enabled by our comprehensive technology solution.
DreamFolks currently command a remarkable 90% market share in India's domestic lounge access market for debit and credit card programs. We proudly serve esteemed clients, including major Card Networks, Banks, OTAs, Airlines, and Enterprises.DreamFolks are a premium travel and lifestyle services company caters to the distinct needs of banks, card networks, airlines, OTA’s, and enterprises. Our business model is geared towards the integration of clients, including card networks, banks, airlines, OTAs (online travel agents), and enterprises on one end, while connecting with various airport lounge operators and service providers on the other."
Hindustan Aeronautics Ltd.,Aerospace & Defence,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/hindustanaeronautics/HAL,http://www.hal-india.co.in,"Hindustan Aeronautics Limited manufactures and overhauls aircraft and helicopters worldwide. It offers aircraft, helicopters, communication/navigation equipment, advanced communication equipment, aerospace equipment, aero engines, advanced light helicopterweapon system integration, light combat aircraft, intermediate jet trainers, and light combat helicopters; and accessories for aircraft, helicopters, and aero engines. The company also provides satellite launch vehicles, such as polar satellite launch vehicles, geo-synchronous satellite launch vehicles, Indian remote satellites, and Indian national satellites. In addition, it manufactures and overhauls industrial marine gas turbines and composites; manufactures structural sub-assemblies, such as doors, pylons, fairings, drop tanks, control structures; designs and constructs engine test beds; and offers repairs, servicing, and supply of spares for military and civil aircraft and helicopters. Further, the company provides site repair, defect investigation/failure analysis, product training, product improvement modification, flight safety, and aircraft upgradation and life extension services; and scheduled and unscheduled servicing of helicopters, supply of ground handling and ground service equipment, assistance in investigations of accidents/incidents and defects, technical support, compliance of modification and technical instructions, and training services. Furthermore, it"
MTAR Technologies Ltd.,Aerospace & Defence,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/mtartechnologies/MT15,http://www.mtar.in,"We are a leading national player in precision engineering industry engaged in the manufacture of mission critical precision components with close tolerances (5-10 microns),and in critical assemblies, to serve projects of high national importance, through our precision machining, assembly, testing, quality control, and specialized fabrication competencies, some of which have been indigenously developed and manufactured. Since its inception in 1970, MTAR has grown into a major group with state-of-the art facilities with unparalleled history of contributing to Indian Civilian Nuclear Power program, Indian Space program, Indian Defence , Global Defence, as well as Global Clean Energy sectors.

The company has the machining, assembly, specialized fabrication, painting and special processes facilities available under one roof, which are probably considered as one of the best facilities available in India, as well as in Asia.

Some of our esteemed clients are ISRO, NPCIL, DRDO, Bloom Energy, Rafael, Elbit, among others. The key product portfolio of the company includes critical assemblies such as Liquid propulsion engines to GSLV Mark III, Base Shroud Assembly & Airframes for Agni programs, Actuators for LCA, power units for fuel cells, Fuel machining head, Bridge & Column, Thimble Package, Drive Mechanisms etc. to the core of the nuclear reactor. Over the years, we have also developed import substitutes such as ball screws and water lubricated bearings that are highly specialized and premium products in Nuclear, Space and Defence.

Through its wide-variety of complex product portfolio, MTAR has created a niche for itself in the Indian precision engineering industry and is today counted among the top three suppliers that cater to precision engineering requirements of Indian nuclear, Defence and Space sectors.

The engineering capability of our Company, evolved over decades, has enabled us to consistently offer quality complex precision manufactured components and assemblies, within stipulated timelines and at reasonable cost, allowing us to forge a robust relationship with our customers. The technological expertise attained over the decades to manufacture products of high positional and dimensional accuracy has given us a steep learning curve and enabled us to set industry standards and created entry barriers for other players in relation to the technology employed and the manufacturing solutions offered to our customers. Currently, MTAR is involved in the development of roller screws, which is an import substitute, and is developing the associated technology post which the company will be the sole manufacturer of roller screws in India.

What challenges do we work to solve?
We address the complex precision engineering needs of the sectors we cater to and our mission is to create differentiated engineering products, thereby creating value for our employees, customers and stakeholders in the process. Our offerings are primarily served in the nuclear, space and defence, and clean energy sectors where we manufacture critical and differentiated engineered products with a healthy mix of developmental and volume-based production, customized to meet the specific requirements of our customers.

Proud Heritage of Nation Building with Exceptional Engineering since five decades.
We commenced operations as a partnership firm in 1970, our Company was incorporated on November 11, 1999 upon the conversion of the erstwhile partnership firm into a private limited company, in accordance with the provisions of Part IX of the Companies Act, 1956.

Our Company has, over the years, developed a wide product portfolio catering to customers in diverse segments as a result of which, we have been able to establish trusted and long-standing relationships with these customers. As on November 30, 2020, our major product portfolio includes 14 kinds of products in the nuclear sector, six kinds of products in the space and defence sectors, and three kinds of products in the clean energy sector. We strive to understand our customers’ specific business needs and provide products to meet their requirements and accordingly, believe that, our ability to provide quality products as per the customer specification, and our consistent customer servicing standards, have enabled us to increase our customers’ dependence on us.
We have been serving customers in the civilian nuclear sector for over 35 years, and have established relationships with the Nuclear Power Corporation of India Limited (“NPCIL”) having served them for over 16 years. We manufacture and supply specialized products such as fuel machining head, drive mechanisms, bridge and column and coolant channel assemblies, among others, not just for the new pressurised heavy water nuclear reactors, but also for refurbishment of the existing reactors.

We are also a key supplier of mission critical components and assemblies to customers within the space and defence sectors for their programs of national importance. Through our long-standing relationships of over three decades and four decades with customers such as the Indian Space Research Organisation (“ISRO”) and the Defence Research and Development Organisation (“DRDO”), we have been able to supply specialized products to the Indian space programme and the Indian missile programme, respectively. For instance, our offerings to ISRO comprised a wide variety of mission critical components and critical assemblies such as liquid propulsion engines, components and assemblies for cryogenic engines, specifically turbo pumps, booster pumps, gas generators and injector heads for such engines, and electro-pneumatic modules to serve its space launch vehicles. Within the defence sector, we undertook complex assemblies for the DRDO, including such as the base shroud assembly (for Agni missiles), and the assembly of secondary injection thrust vector control (“SITVC”) valves and hydraulic fin tip control (“HFTC”) valves. In addition, we also export critical defence components to Rafael and Elbit.

In addition, we also focus on clean energy as one of our key customer sectors and are accordingly, involved in the manufacture of power units, specifically hot boxes, and in the development and manufacture of hydrogen boxes and electrolyzers, to serve Bloom Energy Inc., United States (“Bloom Energy”) with which, we have been associated with, for over nine years.

We currently operate through seven manufacturing facilities, including an export-oriented unit (“EOU”). These manufacturing facilities, each of which is situated in Hyderabad, Telangana, employ advanced equipment to undertake precision machining, assembly, testing and quality control, specialized fabrication, brazing and heat treatment, and other specialized processes, leading to us being a one-stop solutions company for our customers. Over the years, we have made investments in processes, infrastructure and systems, and in specialized training to our technical team to become a leading player in nuclear and space and defence sectors. The company has also implemented various information technology solutions including for assisting in our designing and manufacturing operations, and enterprise resource planning (“ERP”) solutions to integrate key areas of our operations.

We lay special emphasis on research and development (“R&D”) of our manufacturing processes as we believe, it allows us to evolve our own process technologies thereby enabling us to achieve design specifications with accuracy irrespective of the size of the products. We have also recently established an engineering cell that works on cycle time reductions to enhance cost-effective manufacturing solutions in niche engineering segment. Given our operations are specialized, our manufacturing facilities also employ extensive and stringent quality control mechanism at various stages including that of material issue and manufacturing process, to ensure that our finished product conforms to the quality and traceability requirements of our customers. Owing to the critical end-applications of our products and such stringent quality requirements, we believe it becomes very difficult for new players to get qualified for the projects we undertake. Various awards such as the ‘Best Quality Supplier Award’, ‘Defence Technology Absorption Award’, ‘INS Industrial Excellence Award’ and the ‘Award for Excellence in Aerospace Indigenization’ received by us in the past bear testimony to the faith our customers have in us and our ability to successfully serve and meet their requirements."
Sika Interplant Systems Ltd.,Aerospace & Defence,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/sikainterplantsystems/SIS02,http://www.sikaglobal.com,"Sika Interplant Systems Ltd is an engineering company in projects, systems, products and engineering services for aerospace, space, marine, automotive and core industries.The product range of the company includes Motion Control Products and System.Hydraulic Products.Aero engine LRU.Underwater Products.Industrial Equipment.Aerospace Materials and Components.Engineered Projects..The company also in the business activities of Engineering Products, Projects & Services."
