link,title,date time,desc,content
https://www.moneycontrol.com/news/business/markets/private-investors-to-sell-5-6-stake-in-mankind-pharma-via-block-deal-sources-11888161.html,Mega $590 million-plus block deal in Mankind Pharma; 3 PE funds may sell stake,"December 11, 2023 08:14 PM IST",The Mankind Pharma stock has risen by 30 percent in the last six months. It had a strong debut on the domestic bourses on May 9 .,"A clutch of three private equity funds, namely Chrys Capital, Capital Group and Everbridge Partners, are looking to pare stake in Mankind Pharma worth at least $592 million via the block deal route, multiple industry sources in the know told Moneycontrol.""At a base deal size, these three investors are looking to sell stake valued at around $592 million. Considering the up size option, the deal size may go up to $677 million,"" said one of the persons above.A second person told Moneycontrol that the combined stake up for sale at base size would be 6.9 percent and for the upsize option, the combined stake size diluted by the three investors would be 7.9 percent.Also Read: Why have MFs fallen in love with Mankind Pharma just a month since its listing?A third person told Moneycontrol that investment banks Kotak Mahindra Capital and IIFL Capital were acting as advisors for the proposed block deal.He added the floor price at Rs 1785.65 per share was at a seven percent discount to the closing price of Mankind Pharma on December 11 at Rs 1920.05 per share.All the three persons above spoke to Moneycontrol on the condition of anonymity.Also Read: How Mankind Pharma is consistently outperforming the Indian drug industryMoneycontrol could not elicit an immediate comment from the 3 private equity investors or the bankers.The Mankind Pharma stock has risen by 30 per cent in the last six months. It had a strong debut on the  bourses on May 9 . The firm's Rs 4,326-crore IPO was one of the biggest by a domestic pharma player since Gland Pharma made its market debut with a Rs 6,480 -crore issue in 2020."
https://www.moneycontrol.com/news/business/companies/dlf-group-cfo-vivek-anand-resigns-11888021.html,DLF group CFO Vivek Anand resigns after 4-year tenure,"December 11, 2023 06:44 PM IST","After Vivek Anand's exit, DLF managing director Ashok Kumar Tyagi ""will have oversight of the group finance"", DLF informed the exchanges.","Real estate major DLF Ltd on December 11 said its group chief financial officer (CFO) Vivek Anand has submitted his resignation, following a four-year tenure.Anand would remain the group CFO till February 29, 2024, which is his final date of working with the company, DLF informed the stock exchanges.""...after a stint of over 4 years, Mr. Vivek Anand, Group Chief Financial Officer, has decided to move on from the Company, to pursue other career avenues,"" the regulatory filing stated.After Anand's exit, DLF managing director Ashok Kumar Tyagi, who has the overall responsibility for all corporate functions, will also ""have oversight of the group finance"", DLF added.Also Read: DLF Q2 results: Net profit up 29% at Rs 629 crore""Tyagi has had a long stint as the group CFO and continued to review thefunction in his role as CEO and whole-time director,"" the company noted.DLF also acknowledged the role played by Anand ""in strengthening the finance organisation, systems and controls over the past four years"". The company's audit committee, which accepted his resignation in the meeting held earlier in the day, ""placed on record their appreciation for his contributions"", it added.Prior to joining DLF, Anand was the chief financial officer - India Subcontinent at GlaxoSmithKline Consumer Healthcare from June 2015 to October 2019. His past work experience also includes stints as CFO at Telewings India, as national finance director at Unilever Bangladesh, and as regional finance director at Unilever Singapore.Meanwhile, shares of DLF edged higher during the day's trading session. The scrip settled at Rs 667.60 apiece on the BSE, higher by 2.68 percent as against the previous day's close."
https://www.moneycontrol.com/news/business/moodys-assigns-jsw-steel-ba1-corporate-family-rating-11886971.html,Moody's assigns JSW Steel Ba1 corporate family rating,"December 11, 2023 02:50 PM IST","JSW's Ba1 CFR reflects the company's large scale and strong market position in India, its competitive conversion costs, resulting from efficient operations and use of the latest furnace technology, the ratings agency said in a report issued on Monday.","Global rating agency Moody's has affirmed Ba1 corporate family rating (CFR) on home-grown JSW Steel Limited (JSW).JSW's Ba1 CFR reflects the company's large scale and strong market position in India, its competitive conversion costs, resulting from efficient operations and use of the latest furnace technology, the ratings agency said in a report issued on Monday.Besides, the rating also reflects JSW Steel's continuous efforts in improving its backward integration into key raw materials and good product and end-market diversification, with an increasing focus on value-added products and retail sales, it said.Moody's said it has also ""affirmed the Ba1 ratings on JSW's senior unsecured notes, Periama Holdings LLC's guaranteed backed senior unsecured notes, and the US$40 million guaranteed senior unsecured revenue bonds issued by Jefferson County Port Authority, and maintained the stable outlook on JSW and Periama Holdings.""At the same time, Moody's has assigned Ba1 rating to the proposed USD 145 million bonds to be issued by Jefferson County Port Authority.The proceeds from the bond issuance will be loaned to JSW Steel USA Ohio, Inc.(JSW Ohio), a wholly-owned indirect subsidiary of JSW, and used to fund the ongoing capital expenditure for the installation of a vacuum tank degasser and improvements to a continuous slab casting machine, as well as for other process improvements.The tax-exempt senior unsecured bonds will be guaranteed by JSW and carry a tenor of around 30 years.""The proposed bonds are backed by an unconditional, irrevocable corporate guarantee from JSW of up to 125% of the notes' face value, and will rank pari passu with the company's existing senior unsecured debt. As a result, they are rated at the same level as JSW's senior unsecured debt rating,"" said Kaustubh Chaubal, a Moody's Senior Vice President.JSW Steel, a part of JSW Group, is among the top 5 steel producing companies in India having global presence."
https://www.moneycontrol.com/news/business/rajiv-jain-led-gqgs-10-billion-india-bet-has-winning-picks-beyond-adani-11886201.html,Rajiv Jain-led GQG’s $10 billion India bet has winning picks beyond Adani,"December 11, 2023 12:38 PM IST","The value of India investments across six of GQG’s funds jumped to $9.9 billion compared with $4.4 billion a year earlier, according to data compiled by Bloomberg from latest regulatory filings and information on the Florida-based investor’s website.","GQG Partners LLC, led by star investor Rajiv Jain, saw the value of its India portfolio more than double in little over a year, driven by winning stock picks that go beyond its headline-grabbing investments in the Adani Group.The value of India investments across six of GQG’s funds jumped to $9.9 billion compared with $4.4 billion a year earlier, according to data compiled by Bloomberg from latest regulatory filings and information on the Florida-based investor’s website.GQG added stocks across infrastructure, consumer goods and energy sectors in the India equity market which topped the $4 trillion mark last week, cementing its status as one of the best performers in the emerging world. India is getting much love from global investors eager for alternatives to China at a time when Prime Minister Narendra Modi’s nation-building drive has led to investment of billions of dollars for constructing roads, airports, bridges and power facilities.Bloomberg’s calculations rely on the last closing share prices and the latest shareholding in Indian stocks disclosed by GQG for four mutual funds and two others. This may not capture the US investment firm’s entire India exposure since it has other funds whose portfolio details are not available.The valuation of GQG’s Adani investment has vaulted to $7 billion, validation for Jain who cut against the grain when he bought shares worth $1.9 billion in March in the shortseller-stung conglomerate and then topped up some. But he and his fund managers have also bought several less flashy stocks in India that have surged over 50% this year, beating the 15% rise in the benchmark S&P BSE Sensex.What’s In, What’s OutThe largest fund, GQG Partners Emerging Markets Equity Fund, bought JSW Energy Ltd., Patanjali Foods Ltd., Macrotech Developers Ltd., Max Healthcare Institute Ltd. and IDFC First Bank Ltd. for the first time between April and September this year. It added ITC Ltd. — the fund’s largest bet — and State Bank of India Ltd. among other stocks, filings show.It also exited its holdings in Reliance Industries Ltd., Infosys Ltd., Cipla Ltd. and Bajaj Finserv Ltd. All of these have underperformed against the Sensex in 2023.A representative for GQG declined to comment on an emailed query seeking comments on their India investment strategy.Jain, who was born in India but moved to the US in 1990 for his MBA, co-founded GQG Partners in 2016 and has built it into a $113 billion powerhouse since. Unlike many of his peers, Jain doesn’t have a account on X, formerly known as Twitter, makes rare TV appearances and has little penchant for driverless-car companies or hypersonic-missile manufacturers.Instead, he buys into industries with a decidedly 20th-century feel: energy, tobacco, banking. GQG’s India stocks portfolio also mirrors this.In a June interview with Bloomberg, Jain said his firm plans to buy more of India stocks and downplayed the corporate governance and political risks that were weighing down the Adani Group.South Florida’s Anti-Cathie Wood Quietly Builds a Stock BehemothA total of nine GQG funds, that includes mutual funds, collective investments and managed funds, had investments worth $14.5 billion in India as of October end, or about 20% of their total assets under management, according to a Bloomberg analysis of filings. However, portfolio details are available for only six funds that have seen India investments surge by 125% since last year.Out-Sized BetsJain, known to like safe, defensive stocks and then make out-sized bets on them, grabbed investor attention globally when he bought into four Adani Group stocks in March — weeks after the Gautam Adani-led conglomerate was accused of corporate malfeasance by short-seller Hindenburg Research. The market rout wiped off more than $150 billion off Adani Group’s market value at one point despite denying these allegations.GQG didn’t just buy into Adani’s besieged stocks, it doubled down, with Jain calling them “one of the best infrastructure assets” in India. He said in an April interview with Bloomberg that Hindenburg’s accusations might look messy “from a Western point of view” but they were perhaps less problematic in the Indian business context.Adani Group’s market value, driven largely by a spurt over the past two weeks, has increased by about $80 billion since GQG’s March purchase.That said, not all of GQG’s picks have been outperformers. Some, such as HDFC Bank Ltd. and ICICI Bank Ltd. that its EM fund added this year, have lagged the Sensex.The overall impact on the portfolio, though, has been limited, thanks to the outsized gains in some of its other holdings, including Adani. And it doesn’t look like Jain is in it for the short term.Modi’s Nation-Building Push Spurs $125 Billion Industrials RallyWhile GQG likes “private sector banks, IT and consumer staples,” Jain spotlighted infrastructure as the sector to watch in India in the June interview with Bloomberg. “We feel infrastructure is the new story and still under appreciated,” he said then."
https://www.moneycontrol.com/news/business/spicejet-says-to-list-shares-on-nse-11885781.html,SpiceJet says to list shares on NSE,"December 11, 2023 11:47 AM IST","Shares of the carrier, which is navigating financial turbulence, jumped more than 8 per cent in the morning trade on the BSE.","No-frills airline SpiceJet on Monday said it will soon be listing its securities on the National Stock Exchange.Shares of the carrier, which is navigating financial turbulence, jumped more than 8 per cent in the morning trade on the BSE.In order to reach a wider investor base, ""the company shall soon be listing its securities on National Stock Exchange of India Limited"", the airline said in a regulatory filing.There are various requirements, including financial parameters, that need to be fulfilled by companies to get listed on the NSE.SpiceJet, which has been grappling with multiple headwinds, including issues with aircraft lessors, is looking to raise funds.Last week, the airline said that its board will discuss and consider options for raising fresh capital through issue of equity shares and/or convertible securities on preferential basis.On Monday, shares of the company soared 8.46 per cent to Rs 59.62 apiece on the BSE. The 30-share Sensex was trading marginally higher at 69,918.80 points."
https://www.moneycontrol.com/news/business/zydus-lifesciences-inks-licensing-pact-with-daewoong-pharmaceutical-11885741.html,Zydus Lifesciences inks licensing pact with Daewoong Pharmaceutical,"December 11, 2023 11:38 AM IST","Zydus Worldwide DMCC, a wholly-owned subsidiary, and Daewoong Pharmaceutical Co Ltd have entered into an exclusive licensing agreement to co-develop and commercialise Leuprolide Acetate for depot suspension in six dosage strengths for the US market, Zydus Lifesciences said in a regulatory filing.","Zydus Lifesciences Ltd on Monday announced a licensing pact with South Korea's Daewoong Pharmaceutical Co Ltd to co-develop and commercialise a generic version of Leuprolide Acetate for depot suspension used to treat advanced prostatic cancer, endometriosis and uterine leiomyomata (fibroids).Zydus Worldwide DMCC, a wholly-owned subsidiary, and Daewoong Pharmaceutical Co Ltd have entered into an exclusive licensing agreement to co-develop and commercialise Leuprolide Acetate for depot suspension in six dosage strengths for the US market, Zydus Lifesciences said in a regulatory filing.Under the terms of the agreement, Zydus will assume full responsibility for the clinical development and commercialisation in the US market, and Daewoong will be responsible for the pre-clinical studies, production and supply of the product, it added.""Daewoong, utilising its proprietary technology, will produce Leuprolide Acetate for depot suspension in its manufacturing facilities located in Osong, South Korea,"" the filing said.The exclusive agreement also includes development, regulatory and commercialisation milestone payments based on the successful outcome.Additionally, this agreement also includes a profit share on future sales between the two companies, Zydus said without elaborating on financial details.Commenting on the agreement, Zydus Lifesciences Managing Director Sharvil Patel said, ""This is an important milestone and we are happy to work with Daewoong for the generic version of Lupron Depot, empowering patients with access to a critical therapy. This is yet another step to strengthen Zydus' complex injectable portfolio.""Daewoong Pharmaceutical CEO Sengho Jeon said, ""Given the complexity, complex generic drug products like Lupron Depot do not exist to date, and we aim to be the first company in manufacturing the generic version of this complex, long-acting injectable Lupron Depot product.""Leuprolide Acetate for depot suspension is a long-acting injectable product in a kit with a prefilled dual-chamber syringe, used for the treatment of advanced prostatic cancer, endometriosis, and uterine leiomyomata (fibroids), depending on its dosage regime, Zydus said.Leuprolide Acetate for depot suspension had annual sales of approximately USD 671 million in the US with a growth rate of 10 per cent, the company said, citing IQVIA MAT October 2023 data."
https://www.moneycontrol.com/news/business/stocks/max-healthcare-should-good-health-come-at-a-price-11884891.html,Max Healthcare: Should good health come at a price?,"December 11, 2023 10:26 AM IST","Expansion plan supports growth momentum; however, valuations have turned quite high.","                        Highlights

	Good operational and financial performance in Q2FY24
	ARPOB, clinical mix, volumes – all shaping up well
	Expansion plans to support near-term growth
	Trading at elevated valuation multiples

Max Healthcare (Max; CMP: Rs 678; M Cap: Rs 65,909 crore; Rating: Equal-weight) has reported good Q2FY24 earnings as most key operating parameters remained supportive.

A lot of factors are favourable for the healthcare sector — rising insurance penetration, higher per capita income, preference for quality healthcare, as well as government’s push for better healthcare infrastructure.

We reckon...
                    "
https://www.moneycontrol.com/news/business/markets/nifty-at-21k-time-to-buy-more-or-book-the-gains-11883401.html,Nifty at 21k – time to buy more or book the gains?,"December 11, 2023 08:53 AM IST","We expect calendar 2024 to be an eventful but volatile year, that should give investors ample opportunity to buy the lows","                        Highlights

	Markets have staged a sharp recovery – Nifty touching Mount 21K
	On forward P/E basis, stocks still not in the overvalued zone
	Average gap between bond and earnings yield at the peak points to some upside
	Calendar 2024 to experience volatility mostly emanating from the global front
	Investors should add quality stocks at every dip to participate in India’s long-term bull market

Fears of higher rates for longer and a probable US hard landing as well as the strife in the Middle East turning...
                    "
https://www.moneycontrol.com/news/business/apple-aims-to-build-more-than-50-million-iphones-annually-in-india-11874021.html,Apple aims to build more than 50 million iPhones annually in India,"December 08, 2023 12:14 PM IST","Apple and its suppliers aim to build more than 50 million iPhones in India each year, within the next two-to-three years, with additional tens of millions of units planned thereafter, the Wall Street Journal reported on Thursday citing people involved.","Apple and its suppliers aim to build more than 50 million iPhones in India each year, within the next two-to-three years, with additional tens of millions of units planned thereafter, the Wall Street Journal reported on Thursday citing people involved."
https://www.moneycontrol.com/news/opinion/c-suites-are-more-diverse-but-ceo-door-is-still-blocked-11873141.html,"C-suites are more diverse, but CEO door is still blocked","December 08, 2023 11:18 AM IST","There are signs that the door is starting to crack open. A study has found 49% of the C-suites of Fortune 500 companies are now made up of women and people from historically underrepresented ethnic and racial backgrounds. But just 10% of Fortune 500 CEOs are women, while 12% are people from historically underrepresented ethnic and racial groups","For decades, the pinnacle of corporate America has been a notorious boys’ club. If you need proof, just note that, until recently, at any given time through history more male chief executive officers named John were running big companies than the total number of women holding down the same job.There are signs that the door is starting to crack open, however. A study from executive search firm Spencer Stuart out this morning found that nearly half (49 percent) of the C-suites of Fortune 500 companies are now made up of women and people from historically underrepresented ethnic and racial backgrounds.Champions of diversity in corporate America should take a moment to celebrate a real victory here — one that not all that long ago seemed far out of reach. But the big headline number, which on the surface suggests progress, also risks becoming a distraction from some troubling trends hidden within the data.To get to nearly half the C-suite, executives who are women or are Black, indigenous or other people of colour have in large part capitalised on the creation of what’s considered “new” C-suite jobs. Spencer Stuart found that taken together, these two groups make up 89 percent of all chief inclusion and diversity officers and 64 percent of all chief sustainability officers — titles that after a rapid rise now exist at more than half of Fortune 500 companies.These roles have provided a way into the C-suite for those who have long been excluded, but what they haven’t provided is a pathway to the top. While overseeing a company’s climate initiatives and diversity efforts is critically important in today’s world, corporate boards don’t view them as important enough to be a steppingstone to the CEO job. And that’s a title where progress has been woefully slow. Just 10 percent of Fortune 500 CEOs are women, while 12 percent are people from historically underrepresented ethnic and racial groups.A separate study from Spencer Stuart from last year found that CEOs tend to ascend from four “last-mile” roles: chief operating officer or president, division CEO, chief financial officer and “leapfrog” leaders promoted from below the C-suite. That tracks with what we know about the ways boards value CEO candidates with operating expertise and experience running a profit-and-loss statement. These jobs, however, are not ones that historically tend to be held by female or BIPOC executives. Instead, they tend to dominate in areas like human resources, where women make up 70 percent of the Fortune 500 chief HR officers. At least so far, that hasn’t tended to translate into a CEO job. A few years ago, when executive search firm Korn Ferry interviewed nearly 60 women who were current or former CEOs, not one of them had started her career in HR.Corporate America and the boards that lead it clearly don’t value all C-suite roles equally. Chief diversity officers, for example, have found themselves particularly vulnerable to the latest bout of corporate layoffs, a sign that they are viewed as more dispensable than other top executives. A LinkedIn study reported on by Bloomberg earlier this year found that the chief diversity and inclusion role was the fastest-growing C-suite position in 2020 and 2021, but the only one of the top-growing jobs to reverse hiring trends between 2021 and 2022.There are two solutions. If companies are truly committed to a more diverse pool of CEO candidates, they need to be more intentional about where they place talent earlier in their careers so they’re better positioned for those “last-mile” roles. Granted, it’s fair to question how real that commitment is with the ways companies have gutted their DEI departments in the last year. But there may actually have been some progress here, with the number of female CFOs on the rise.The alternative is for companies to reimagine what the path to the CEO job might look like. Could there be a day when it’s the norm for a chief diversity and inclusion officer or a chief sustainability officer to ascend to the CEO job? Let’s not forget that these jobs were created in the first place to help companies address some of the biggest and most pressing issues of our time. At the very least, it might be a smart move for corporations to start considering it. Beth Kowitt is a Bloomberg Opinion columnist. Views do not represent the stand of this publication.Credit: Bloomberg    "
