,link,title,date time,desc,content
0,https://www.moneycontrol.com/news/business/budget/cea-nageswaran-says-fy25-budgets-fiscal-deficit-target-not-about-making-a-statement-12184801.html,CEA Nageswaran says FY25 Budget's fiscal deficit target not about making a statement,"February 03, 2024 09:50 AM IST","Nageswaran also rejected the K-shaped recovery theory that is being used to describe India's post-pandemic rebound. According to him, it is akin to the phrase 'Hindu rate of growth' that was ""unthinkingly"" used and stuck for no reason.","The government's decision to target a fiscal deficit of 5.1 percent of GDP in 2024-25 may have left markets stunned, but there was no intent to ""make a statement"" of any sort with such aggressive consolidation, Chief Economic Adviser V Anantha Nageswaran has said, adding that the interim Budget had not made any unrealistic assumptions to arrive at the lower-than-expected target.""It's not that we are trying to make a statement here. We are comfortable with the numbers,"" Nageswaran told Moneycontrol in an interview after the interim Budget.Economists polled by Moneycontrol had expected the fiscal deficit target for the next financial year to be set at 5.3 percent. However, the Indian government already has one eye on meeting its stated objective of cutting the deficit down to 4.5 percent or lower by 2025-26. Nageawaran said that commitment had to be reinforced.""We were at 5.9 percent when the Budget exercise started last year. So we need to demonstrate commitment to that path. We have to demonstrate credibility,"" he said, emphatically denying that the inclusion of Indian government bonds on global indices later this year had any role to play in setting the deficit target for 2024-25.As for what ratings agencies think, Nageswaran said while the government would welcome an upgrade, it was not ""chasing"" one.“At the end of the day, it is their prerogative. We can only do what we have to do and we are demonstrating that we are doing that. But they shouldn't be shifting the goalposts,"" the government's top economist said, echoing Finance Minister Nirmala Sitharaman's post-Budget comments.When asked if the announcement of any major policies in the full Budget post the Lok Sabha elections could leave the fiscal deficit target untenable, Nageswaran refused to comment, saying it is ""too premature to speculate on that"".Four years of 7% growth?Being an interim Budget, Nageswaran and his team did not present an Economic Survey on January 31. Instead, on January 29, they published a report reviewing the Indian economy where they said the GDP may grow close to 7 percent in 2024-25. Nageswaran has stuck to that approximation.""I think 6.5-7 percent would be a good way to peg it...maybe tending towards the upper end of this range, at this point. But I think at least one quarter or four months of data has to pass before we can talk about the balance of risks,"" he said.For Nageswaran, giving precise growth forecasts is an exercise in futility as they always end up being wrong, except by chance.""We are here to talk about ranges of outcomes. That's why it is quite possible that we may end up achieving a fourth year of 7 percent or 7 percent-plus growth,"" he said.On January 5, the statistics ministry said the Indian economy may post a growth rate of 7.3 percent in 2023-24, up from 7.2 percent in 2022-23. In 2021-22, the GDP had increased by 9.1 percent.No K-shaped recoveryWhile India's recent growth numbers have surpassed all expectations, the general consensus among economists is that the post-pandemic recovery has been led by the upper class, with growth in demand for premium goods outstripping that for the mass-market segment. This pattern of recovery has been labelled 'K-shaped'.The government, however, has rejected this thesis, with Nageswaran adding to the criticism recently voiced by the finance minister.""This is like someone unthinkingly using the phrase 'Hindu rate of growth' that has stuck for no particular reason. It is the same Indian economy that has seen its decadal growth rates keep rising. So similarly, these kinds of alphabets are meaningless,"" the chief economic adviser said.However, Nageswaran did not deny growth has been uneven, with the coronavirus pandemic leading to reverse migration and temporarily resulting in an increase in the agricultural workforce.""We don't have data beyond 2021-22, but if you look at the RBI's KLEMS (capital, labour, energy, material, services) database, that shows that in 2021-22, manufacturing created a large number of jobs and the reverse migration began to reverse. But once you see the data for 2022-23 and 2023-24, you will see that it is beginning to happen. So obviously, until such time that you are confident of these trends, then the government would continue to make sure that it provides some sort of a buffer, or insurance to the public,"" Nageswaran said, referring to the decision to extend the free foodgrain scheme for an additional five years until 2028.Capex not slackingAs expected, the interim Budget raised the capital expenditure target for next year to a fresh record high of Rs 11.11 lakh crore, although the pace of increase cooled sharply to 11.1 percent compared to the 2023-24 budget estimate – something Nageswaran had indicated would happen way back in December 2022.""With every passing year, the base becomes higher. So you can't maintain the same growth rate on a higher base,"" he said.When asked if there were any concerns over private sector capex being concentrated in certain sectors such as construction, Nageswaran dismissed the suggestion as ""hair-splitting"".""Obviously, we would love to see much more all-round development. But certain places will start ahead of others. You are talking about a large, continental country – not everybody will be firing on all cylinders at all times."""
1,https://www.moneycontrol.com/news/business/budget/jobs-outside-formal-economy-not-getting-counted-more-informed-debate-needed-says-fm-12183521.html,"Jobs outside formal economy not getting counted; more informed debate needed, says FM","February 02, 2024 08:09 PM IST","In a post-Budget interview with Rahul Joshi, Editor-in-Chief, Network18, the finance minister also said that jobs getting created outside the formal economy were ""not getting counted at all""","Finance Minister Nirmala Sitharaman has called for a more informed discussion on India's employment scenario, saying the focus is far too much on what is happening in the formal economy.In a post-budget interview on February 2 with Rahul Joshi, Editor-in-Chief, Network18, the finance minister said that if new companies were now being registered at a faster pace than before, it could not occur without the creation of new jobs.FM Sitharaman hopeful FY25 capex target will be achieved""The question about employment, I am afraid we are repeatedly focussing only on those indicators pertaining to the formal economy — which is important, I am not denying it. So college recruitment, IIM-like campuses, are important. But equally, the jobs that are getting created in the middle and lower order, are not getting counted at all,"" Sitharaman said.Moneycontrol reported on January 3 that some premier Indian Institutes of Management (IIMs), which normally achieve 100 percent placements in just a couple of days, have been struggling for the last two months to find jobs for their students.However, the finance minister said the employment debate in India needed more complete data.""I think a fairer, open, and exhaustive picture of India's employment — both in the formal and non-formal areas — will have to have some kind of wider base. And we need to bring in such data so that the discussion can be more informed,"" she said.As per the latest data from the government's Periodic Labour Force Survey, the overall urban unemployment held steady at 6.6 percent in the second quarter of 2023-24, unchanged from April-June 2023. At 6.6 percent, the rate of unemployment in Indian cities is at its lowest ever since the survey was started in 2018-19.According to Sitharaman, banks' credit growth provides a good illustration of the job creation going on in the economy, especially concerning small and medium enterprises.""Why would new companies get registered in a bigger number than before if employment is not being offered? Companies cannot operate in a vacuum without human beings in them,"" she said.In its January 29 report reviewing the Indian economy, the finance ministry said that as of November 17, 2023, bank credit to micro, small, and medium enterprises had registered a Compound Annual Growth Rate (CAGR) of 14.2 percent from 2018-19 to 2023-24."
2,https://www.moneycontrol.com/news/business/budget/fm-sitharaman-says-ratings-agencies-should-take-note-of-indias-reforms-macro-stability-12182991.html,"Sitharaman says ratings agencies should take note of India's reforms, macro stability","February 02, 2024 07:04 PM IST","The Indian government has been in a running battle with S&P Global Ratings, Moody's Investors Services, and Fitch Ratings as it thinks the sovereign rating assigned to the country is not a fair reflection of its economic strength.","Finance Minister Nirmala Sitharaman said global ratings agencies should view India's reforms as a whole and  that macroeconomic stability had been maintained.Asked if she was expecting an upgrade after the impressive fiscal consolidation targeted for 2024-25, Sitharaman told Rahul Joshi, Editor-in-Chief, Network18 on February 2 in a post-Budget interview that she hoped the ratings agencies ""do their job"".""But periodically it's our business also to bring it to their notice that economies, particularly emerging market economies like India, despite the odds, we are doing a lot of reforms, systemic reforms, which actually you are seeing is bearing the results now,"" the finance minister said.Also Read: FM's message to ratings agencies – govt bettering fiscal roadmapThe Indian government has been in a running battle with global ratings agencies S&P Global Ratings, Moody's Investors Services, and Fitch Ratings as it thinks the sovereign rating assigned to the country is not a fair reflection of its economic strength.In her post-Budget press conference on February 1, the finance minister said that her message to ratings agencies is that not only was the Indian government aligned with its fiscal consolidation road map, it is ""even bettering it"".As per the interim Budget, the Centre is targeting a fiscal deficit of 5.1 percent of GDP in 2024-25, well below expectations of 5.3 percent.""The Atmanirbhar Bharat announcements were all infused with so many reform measures. Otherwise we wouldn't have eliminated more than 68,000 rules which were just so archaic and becoming instruments for rent-seeking people. So systemic reforms have continued, whether it was pre-COVID GST and IBC, together with many other reforms like professionalising public sector banks and so on,"" she said.Also Read: FM Sitharaman says govt open to SBI, ONGC disinvestmentAccording to the finance minister, the Budget has continued the reform pace by emphasising on transparency and keeping anything ""outside the Budget or underneath the carpet"".""These are not small steps,"" she said, adding that even ""small ones"" were having ""very big implications"" on the economy.""The bigger ones, which are bearing results in terms of the money that you collect in GST, these are not small steps. So that is the one which I would play as important indicators which ratings agencies should look at comprehensively rather than look at just one detail here, one detail there. Macroeconomic stability is also very well kept up,"" she added."
3,https://www.moneycontrol.com/news/business/the-reading-list-february-2-2024-12183281.html,"The Reading List: February 2, 2024","February 02, 2024 06:15 PM IST","A selection of articles and social media gems from the world of economy, business and finance, curated by our research and opinion teams","                        In a world strapped for time, we thought you may find it useful to have a selection of articles we read this past week. As the week winds down, you can browse through them and turn up with some new thoughts and views on Monday. It’s a broad mix of topics but mainly from the world of business, economy and finance. Occasionally, we may stray from these subjects.

These links may be from external websites we frequent or shared by...
                    "
4,https://www.moneycontrol.com/news/business/markets/business-in-the-week-ahead-february-5-9-2024-12182821.html,"Business in the Week Ahead (February 5-9, 2024)","February 02, 2024 05:37 PM IST",The just-concluded Budget has stuck to the fiscal prudence script. Will RBI take the cue? Even the IPO circuit remains hot. The next week has all that and more,"                        The Budget, even though interim, is over. As the dust settles, there is frenetic activity around dissecting the numbers and what it means for you, me and the economy in general.

Evidently, the policy exercise has come out with flying colours on the maths front. Fiscal numbers look credible enough. Even as it tries to double down on infrastructure investment through public capex, the eyes are firmly on the fiscal deficit glide path.

Though Finance Minister Nirmala Sitharaman has earned positive...
                    "
5,https://www.moneycontrol.com/news/business/budget/fm-sitharaman-hopeful-fy25-capex-target-will-be-achieved-12182491.html,FM Sitharaman hopeful FY25 capex target will be achieved,"February 02, 2024 05:32 PM IST","According to the finance minister, state governments have been ""very enthusiastic"" in wanting to avail of the capex loan facility provided by the central government.","Finance Minister Nirmala Sitharaman is hopeful that the 2024-25 Budget estimate of Rs 11.11 lakh crore for capital expenditure will be met.""...to increase it to 11 (lakh crore rupees), I am very hopeful that it will definitely get used. And the amounts which are given to states are also having high utilisation,"" the finance minister said on February 2 in a post-Budget interview with Rahul Joshi, Editor-in-Chief, Network18.On February 1, Sitharaman announced the Centre's capex target for next year will be a new record of Rs 11.11 lakh crore, up 11.1 percent from the budget estimate for 2023-24. This was broadly in line with expectations, with a Moneycontrol poll predicting that the allocation for 2024-25 would increase to Rs 11 lakh crore.Even as Sitharaman raise the capex target for next year, the revised estimate for 2023-24 was lowered by more than Rs 50,000 crore from Rs 10 lakh crore. In the interview with Network18, the finance minister defended the revised capex estimate of Rs 9.5 lakh crore, saying what had been achieved in ""a matter of 12 months, is I think good enough"".""It's not like we have done only Rs 2-3 lakh crores. We are closer to Rs 10 lakh crores,"" Sitharaman said.The 2023-24 capex target of Rs 10 lakh crore was missed primarily due to lower-than-anticipated utilisation by states of the capex loan scheme. While Rs 1.3 lakh crore had been budgeted for the Special Assistance as Loan to States for Capital Expenditure scheme for the current financial year, the revised estimate for the same is Rs 1.06 lakh crore.Also Read: Andhra, Kerala yet to get any approval from Centre for FY24 capex loansFor 2024-25, the government has retained the allocation for the scheme - under which interest-free loans are given to states for 50 years only for capex - at Rs 1.3 lakh crore.However, the finance minister defended the states' use of the caex loan scheme, saying ""absorption has its own limits"".""Sometimes, reaching the target, however ambitious it is, to the last mile is difficult within 12 months. Had we given them a few more months, they will probably even complete that. But the conditions for these capital expenditure which I have announced since last 2-3 years is that the amount should be utilised within the year,"" Sitharaman said.""So many of the states which take the money, which are very good in implementing – in fact, I find states very enthusiastic in wanting to avail of these facilities - the difficulty comes if you restrict them to using it in 12 months, which is what we aim at,"" she added.""That's why...you might reach 9, 9.2 (lakh crore) and not touch 10 (lakh crore)."""
6,https://www.moneycontrol.com/news/opinion/the-cycle-vs-the-trend-investors-need-to-prepare-for-secular-change-12178751.html,The cycle vs the trend: investors need to prepare for secular change,"February 02, 2024 12:54 PM IST",Bigger and more difficult choices need to be made as a new inflection point emerges in markets,"                        Peter Oppenheimer

Over the past several months, we have witnessed a significant shift in expectations about the economic cycle. A year ago, many economists and investors expected the global economy to enter a recession driven by sharp rises in interest rates to combat the surge in global inflation. By contrast, at the start of this year, the consensus expectation is more benign — inflation is now slowing, paving the way for a series of interest rate cuts and a soft...
                    "
7,https://www.moneycontrol.com/news/business/economy/fy24-asset-monetisation-falls-short-of-target-at-rs-1-50-lakh-crore-12180001.html,FY'24 asset monetisation falls short of target at Rs 1.50 lakh crore,"February 02, 2024 12:19 PM IST","Under the National Monetisation Pipeline, the aggregate monetisation potential of the central government's brownfield infrastructure assets has been estimated at Rs 6 lakh crore over a four-year period, from FY 2022 to FY 2025.","The central government and Central Public Sector Enterprises are estimated to monetise assets worth Rs 1.50 lakh crore in the current fiscal, a tad lower than the targeted of Rs 1.75 lakh crore, a senior official said.Under the National Monetisation Pipeline, the aggregate monetisation potential of the central government's brownfield infrastructure assets has been estimated at Rs 6 lakh crore over a four-year period, from FY 2022 to FY 2025.In an interview to PTI TV, the Department of Investment and Public Asset Management (DIPAM) Secretary Tuhin Kanta Pandey said about Rs 1.75 lakh crore was the target for asset monetization this year and ""we are going to achieve something like Rs 1.50 lakh crore through monetisation"".Pandey said monetisation is going on through infrastructure investment trust (InvITs), Toll Operate Transfer (TOT) in mining, road and power sector and is beginning to happen in the petroleum sector.""The asset monetisation proceeds do not visibly appear in the Budget... to the extent NHAI does it and the receipts are with the government that is only reflected in the Budget,"" Pandey said in most cases the proceeds accrues to the enterprise and not to the government.Asset Monetization, based on the philosophy of Creation through Monetisation, is aimed at tapping private sector investment for new infrastructure creation. It also creates employment opportunities, thereby enabling high economic growth and integrating the rural and semi-urban areas for overall public welfare."
8,https://www.moneycontrol.com/news/business/economy/cbdt-says-56-lakh-updated-itrs-filed-rs-4600-crore-taxes-mopped-up-in-2-years-12179201.html,"CBDT says 56 lakh updated ITRs filed, Rs 4,600 crore taxes mopped up in 2 years","February 02, 2024 11:19 AM IST","In a post budget interview to PTI TV, Gupta also said the I-T department has set up a demand management centre at Mysuru, Karnataka, which is focusing on disputed pending large tax demands of above Rs 1 crore.","The income tax department has garnered about Rs 4,600 crore in taxes from 56 lakh updated I-T returns filed by taxpayers in the past two years, Central Board of Direct Taxes (CBDT) chief Nitin Gupta said.In a post budget interview to PTI TV, Gupta also said the I-T department has set up a demand management centre at Mysuru, Karnataka, which is focusing on disputed pending large tax demands of above Rs 1 crore.""We are continuously improving the services and creating litigation free environment. We have come out with a facility for updation of return. 56 lakh updated returns updated and garnered around Rs 4,600 crore taxes from that,"" Gupta said.The Interim Budget 2024-25 has announced withdrawal of outstanding small tax demands, some even dating back to 1962, of up to Rs 25,000 till 2014-15 in respect of income, wealth and gift taxes. There are about 1.11 crore such disputed demand entries and the aggregate tax demand involved is Rs 3,500-3,600 crore.Gupta said the move would benefit about 80 lakh unique taxpayers.""Small tax demand we are tackling in that (withdrawal of demands) manner and large tax demand we are tackling separately (through demand management centre). We think this exercise would yield quite a lot of dividend to us and we will be able to manage the demand in a more meaningful way,"" Gupta said.With regard to withdrawal of disputed demands which is announced in Budget, Gupta said most of these demands are on the books.There could be cases where the taxpayer has already paid the tax demand but it has not been updated on the system because it's an old demand when everything was manual. Some of the demand could be fictitious as well in that sense, because it is already been paid or not payable by taxpayer but no one has record of this, Gupta explained.""So to do away with all these and reduce grievances of taxpayers, this is a step we have taken. We believe that a number of entries of that nature what the Finance Minister has spoken about in budget speech could be a crore or more of the number of entries and number of taxpayers could be 80 lakh or so unique ones,"" he said, adding with this exercise the department can clean its books and it would be beneficial for taxpayers as well.""The amount Rs 3,500 crore (which is being withdrawn) would be insignificant compared to what we are collecting annually Rs 19.45 lakh crore. This is the right time to do exercise on that front as well and focus on collection of big demand. The manpower is limited and the effort that we will put in to recover or rectify would be much more than the benefit,"" Gupta said.The budget 2022-23 had announced a scheme for filing updated returns in ITR-U form. The form can be filed within 2 years of the end of the relevant assessment year, and taxpayers will have to give reasons for updating the income -- return previously not filed or income not reported correctly or wrong heads of income chosen or reduction of carried forward loss."
9,https://www.moneycontrol.com/news/business/economy/faster-pace-of-fiscal-deficit-reduction-does-not-significantly-change-indias-credit-profile-fitch-12179121.html,Faster pace of fiscal deficit reduction does not significantly change India's credit profile: Fitch,"February 02, 2024 11:18 AM IST","In a post budget commentary, Fitch Ratings Director, Sovereign Ratings, Jeremy Zook said over the next five years, India's government debt-to-GDP ratio would be broadly stable at just above 80 per cent of GDP. This is based on a continued path of gradual deficit reduction, as well as robust nominal growth of around 10.5 per cent of GDP.","Fitch Ratings on Friday said the slightly faster pace of fiscal deficit reduction does not significantly change India's sovereign credit profile but the government's emphasis on deficit reduction will help to stabilise the debt-to-GDP ratio over the medium term.In a post budget commentary, Fitch Ratings Director, Sovereign Ratings, Jeremy Zook said over the next five years, India's government debt-to-GDP ratio would be broadly stable at just above 80 per cent of GDP. This is based on a continued path of gradual deficit reduction, as well as robust nominal growth of around 10.5 per cent of GDP.In the interim Budget 2024-25, presented in Parliament on Thursday, the government revised lower its current year fiscal deficit to 5.8 per cent from 5.9 per cent budgeted earlier.The deficit, which is the gap between the government's revenue and expenditure, will come down to 5.1 per cent in 2024-25 and further to 4.5 per cent by 2025-26.Fitch said this demonstrates a firm desire to adhere to a path of gradual fiscal consolidation even amid an election year.""The budget presented on Thursday was broadly in line with our expectations, though with a slightly faster pace of deficit reduction, from when we affirmed India's 'BBB-' rating with a Stable Outlook in January.""As such, it does not significantly change the sovereign credit profile. India's fiscal deficit and government debt ratio are high relative to peer medians, but the government's emphasis on deficit reduction helps to stabilise the debt ratio over the medium term,"" Zook said.This Budget was important in signalling the current government's clear commitment to fiscal consolidation and its capex agenda, should it return to office, he added.The government had earlier estimated that the fiscal deficit will come down to 5.4 per cent in the next financial year, beginning from April 1, 2024.However, in the interim Budget, it bettered its estimates to 5.1 per cent of GDP.""Our current forecast is for the deficit to reach 5.4 per cent of GDP in FY25, above the budget target due to more conservative revenue forecasts in the next year. But the government has shown a recent record of achieving fiscal targets, which gives credibility for it to reach the 5.1 per cent target,"" Zook said.Replying to a question in the post-budget conference on her message to rating agencies, Sitharaman said: ""Not only aligning with the fiscal consolidation roadmap that we gave earlier, but bettering it -- that is one simple, straight forward message that every rating agency should take on board."" Higher dividends from banks and financial institutions, apart from improvement in tax mobilisation, would help achieve the fiscal deficit glide path.All three global rating agencies -- Fitch, S&P and Moody's -- have the lowest investment grade rating on India, with a stable outlook. The ratings are looked at by investors as a barometer of the country's creditworthiness and impact borrowing of companies.On Thursday, Moody's Investors Service had said that the interim budget for 2024-25 firmly conveys the government's commitment to its fiscal consolidation goals, set against a backdrop of healthy economic growth.The government demonstrated fiscal restraint in not resorting to large handouts or increasing discretionary spending ahead of this year's elections, Moody's Investors Service Senior Vice President Christian de Guzman had said."
