"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","07 Feb 2024","12156.2","12162.45","12065.45","12126.80"
"NIFTY 200","06 Feb 2024","12013.65","12090.45","11953.65","12082.95"
"NIFTY 200","05 Feb 2024","12063.5","12091.65","11949.35","11975.65"
"NIFTY 200","02 Feb 2024","12000.6","12140.2","11995.45","12017.20"
"NIFTY 200","01 Feb 2024","11992.75","12003.15","11901.2","11937.65"
"NIFTY 200","31 Jan 2024","11822.45","11961.5","11802.5","11953.80"
"NIFTY 200","30 Jan 2024","11957.35","11974","11819.6","11829.60"
"NIFTY 200","29 Jan 2024","11771.5","11937.75","11767.65","11925.90"
"NIFTY 200","25 Jan 2024","11783.1","11783.65","11660.2","11724.75"
"NIFTY 200","24 Jan 2024","11614.45","11782.2","11555.45","11769.40"
"NIFTY 200","23 Jan 2024","11943.1","11950.45","11599.4","11626.80"
"NIFTY 200","20 Jan 2024","11916.75","11927.05","11842.8","11855.95"
"NIFTY 200","19 Jan 2024","11835.05","11871.8","11817.1","11862.30"
"NIFTY 200","18 Jan 2024","11732.45","11782.65","11599.9","11749.35"
"NIFTY 200","17 Jan 2024","11844.3","11937.7","11790.75","11801.35"
"NIFTY 200","16 Jan 2024","12056.6","12074.8","11971.1","12019.45"
"NIFTY 200","15 Jan 2024","12042.05","12062.45","11979.6","12055.40"
"NIFTY 200","12 Jan 2024","11920.7","11978.55","11885.75","11960.85"
"NIFTY 200","11 Jan 2024","11863.2","11885.05","11824.6","11855.20"
"NIFTY 200","10 Jan 2024","11782.25","11829.9","11717.1","11820.45"
"NIFTY 200","09 Jan 2024","11838.9","11870.7","11768.8","11782.90"
"NIFTY 200","08 Jan 2024","11897.2","11900.75","11748.8","11759.70"
"NIFTY 200","05 Jan 2024","11884.3","11904.1","11817.35","11872.30"
"NIFTY 200","04 Jan 2024","11796.8","11863.65","11782.5","11850.60"
"NIFTY 200","03 Jan 2024","11791.55","11796.95","11734.25","11745.50"
"NIFTY 200","02 Jan 2024","11831.4","11833.45","11699.05","11782.60"
"NIFTY 200","01 Jan 2024","11809.45","11865.05","11787.8","11817.50"
"NIFTY 200","29 Dec 2023","11781.8","11811.5","11749.85","11798.70"
"NIFTY 200","28 Dec 2023","11762.7","11799.95","11736.55","11790.05"
"NIFTY 200","27 Dec 2023","11669.5","11737","11659.85","11727.00"
"NIFTY 200","26 Dec 2023","11590.1","11647.1","11569","11629.85"
"NIFTY 200","22 Dec 2023","11545.25","11590.55","11498.45","11569.10"
"NIFTY 200","21 Dec 2023","11340.75","11523.65","11306.1","11507.65"
"NIFTY 200","20 Dec 2023","11695.2","11719.9","11384.5","11417.20"
"NIFTY 200","19 Dec 2023","11660.35","11664.15","11570.55","11637.45"
"NIFTY 200","18 Dec 2023","11626.7","11657","11582.2","11627.00"
"NIFTY 200","15 Dec 2023","11579.15","11641.5","11544.5","11627.80"
"NIFTY 200","14 Dec 2023","11471.55","11535.1","11461.45","11520.35"
