"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","07 Feb 2024","16569.9","16653.45","16458.05","16566.20"
"NIFTY SMALLCAP 100","06 Feb 2024","16433.8","16478.05","16283.05","16449.35"
"NIFTY SMALLCAP 100","05 Feb 2024","16376.15","16531.75","16220.45","16319.75"
"NIFTY SMALLCAP 100","02 Feb 2024","16253.2","16388.65","16225.25","16277.85"
"NIFTY SMALLCAP 100","01 Feb 2024","16119.85","16142.3","15914.5","16127.20"
"NIFTY SMALLCAP 100","31 Jan 2024","15756.7","16038.95","15737","16026.30"
"NIFTY SMALLCAP 100","30 Jan 2024","15743.25","15817.4","15657.35","15673.80"
"NIFTY SMALLCAP 100","29 Jan 2024","15503.25","15654.6","15497","15638.55"
"NIFTY SMALLCAP 100","25 Jan 2024","15397.85","15435.3","15289.15","15409.40"
"NIFTY SMALLCAP 100","24 Jan 2024","15109.8","15348.2","14910.3","15332.05"
"NIFTY SMALLCAP 100","23 Jan 2024","15633.45","15665.7","15014.05","15073.05"
"NIFTY SMALLCAP 100","20 Jan 2024","15553.65","15589.35","15477.7","15518.90"
"NIFTY SMALLCAP 100","19 Jan 2024","15455.8","15561.25","15447.55","15487.45"
"NIFTY SMALLCAP 100","18 Jan 2024","15333","15417.45","14936","15320.60"
"NIFTY SMALLCAP 100","17 Jan 2024","15385.85","15550.35","15282.05","15348.35"
"NIFTY SMALLCAP 100","16 Jan 2024","15620.75","15653.9","15376.2","15535.30"
"NIFTY SMALLCAP 100","15 Jan 2024","15642.9","15687.1","15503.05","15610.50"
"NIFTY SMALLCAP 100","12 Jan 2024","15568.55","15609.7","15526.9","15544.65"
"NIFTY SMALLCAP 100","11 Jan 2024","15450.6","15496.25","15420.7","15476.45"
"NIFTY SMALLCAP 100","10 Jan 2024","15445.4","15465.8","15288.3","15386.70"
"NIFTY SMALLCAP 100","09 Jan 2024","15462.6","15506.8","15384.25","15409.70"
"NIFTY SMALLCAP 100","08 Jan 2024","15511.65","15523.8","15326.85","15342.55"
"NIFTY SMALLCAP 100","05 Jan 2024","15426.4","15458.05","15285.75","15438.85"
"NIFTY SMALLCAP 100","04 Jan 2024","15265.5","15367.95","15263.45","15339.20"
"NIFTY SMALLCAP 100","03 Jan 2024","15199.35","15226.95","15096.25","15188.80"
