Question,Answer,,,,,
Why Option Trading?,Option trading is getting popular day by day due to its simplicity and lower risk profile. It is turning out to be one of the regular income streams because it requires very little amount of money and very basic knowledge to start with. Another advantage of option trading is that one can make profit irrespective of the market condition. The only one point of caution is that one has to select the right strategy depending on the type of stock or index and depending on market conditions.,,,,,
What are Advantages of option trading,Leverage: Option trading allows a small amount of capital to control a larger monetary amount of the underlying asset. A trader requires Rs.1,20,000 to own 1000 shares whose stock price is Rs.120. But in option, the trader will require a fraction of that amount to control such an amount of shares. Flexibility: Option trading is a very flexible investment tool, allowing trading and making a profit in various market situations. Limited Risk-Unlimited Profit: The maximum loss is limited when one buys an option," but the possible profit amount is unlimited. Portfolio protection is also possible by creating a hedge with options to fight adverse situations."""
What is an option?,An option is the right either to buy or to sell a specified amount of a particular underlying asset at a pre-determined price by a pre-determined expiration time frame. Option is known as derivative because its value is derived from an underlying asset and its price fluctuates as the price of the underlying asset rises or declines. There are two types of options; Call option and Put option.,,,,,
what is a Call option?,"A call option is the right but not the obligation to buy a fixed amount of shares at a fixed price on or before the expiry period. It is suitable when the trader expects an upside movement of the stock or market. Example: If the trader has a bullish view on banking stocks, then he should buy a call option of Bank-Nifty.",,,,,
What is Put option?,"A put option is the right but not the obligation to sell a fixed amount of shares at a fixed price on or before the expiry period. It is suitable when the trader has a bearish view on the market or a particular stock. Example: If the trader has a bearish view on banking stocks, then he should buy a put option of Bank-Nifty.",,,,,
Write Some important terms related to option,Underlying asset: Each option is based on an asset; this is known as underlying asset. Strike Price: The predetermined price at which the underlying asset may be bought by the call holder or sold by the put holder. Expiration Date: The date on which an option expires. Option premium: The price paid for buying the option is known as option premium or simply option price. It can be divided into intrinsic value and time value.,,,,,
What are the Parameters affecting option premium?,"A trader should have clear knowledge of the parameters affecting option pricing, which generally depend on the underlying asset, volatility, time left for expiry, and interest rates. In-the-money option, At-the-money option, Out-of-the-money option are terms associated with the relationship between the strike price and the underlying asset price.",,,,,
Explanation of different terms with an Example,"The option chain of State Bank of India (SBIN) is provided as an example. It includes information about strike prices, in-the-money, at-the-money, and out-of-the-money options. Bid Price, Ask Price, and Last Traded Price (LTP) are also explained. An example statement about the SBIN call option of strike price Rs.240 is provided to illustrate the concepts of in-the-money option, intrinsic value, and time value.",,,,,
Write Two most important factors affecting option price other than asset price?,Volatility: Refers to the price fluctuation of an underlying asset. It can be historical volatility or implied volatility. Implied Volatility: Represents the current and future perception of the market risk. It is important because option price increases if implied volatility increases keeping other parameters constant. Days or Time to expiration: The time remaining in days to the expiry period is an important factor to determine option price. The value of option decreases as the time to expiration gets closer.,,,,,
What is an Underlying asset ?,Underlying asset: Each option is based on an asset; this is known as underlying asset.,,,,,
What is Volatility in stock market?,Volatility: Refers to the price fluctuation of an underlying asset. It can be historical volatility or implied volatility. Implied Volatility: Represents the current and future perception of the market risk. It is important because option price increases if implied volatility increases keeping other parameters constant. Days or Time to expiration: The time remaining in days to the expiry period is an important factor to determine option price. The value of option decreases as the time to expiration gets closer.,,,,,
What is a Strike Price in options., Strike Price: The predetermined price at which the underlying asset may be bought by the call holder or sold by the put holder.,,,,,
What is a Expiration Date in options., Expiration Date: The date on which an option expires. Option premium: The price paid for buying the option is known as option premium or simply option price. It can be divided into intrinsic value and time value.,,,,,
What is Implied Volatility.,"Implied Volatility: Implied Volatility (IV) is one of the most important deciding factors of
option price. We found Historical Volatility is the annualized standard
deviation of the past price movement of a stock or index. But Implied
Volatility is the volatility that matches with the current option price and
indicates current and future perception of the market risk. In one sentence,
implied volatility is the volatility which market implies about the stock’s
volatility in the future.
It is important because option price increases if implied volatility
increases keeping other parameters remain constant.
You can get implied volatility of option prices in NSE websites or any
other financial websites or softwares where option chains are available.",,,,,
Historical Volatility,Historical volatility is the historical price fluctuation of the underlying asset in percentage terms. Normally it is calculated as standard deviation of daily fluctuation of historical closing prices. ,,,,,
What is In-the-money option (ITM)?,"A call option will be known as in-the-money option (ITM) when the strike price is lower than the underlying asset price. On the other hand, a put option will be in-the-money option when strike price is higher than the underlying asset price.",,,,,
discibe At-the-money(ATM) option?,"When underlying asset price is equal to strike price of the option, the option is known as at-the-money option",,,,,
