datetime,pos,neg,neu
17-12-2017 00:00,"[0.07908040285110474, 0.04003581404685974, 0.13974769413471222, 0.024376390501856804, 0.03605228289961815, 0.3219507336616516, 0.1218268871307373, 0.09315206110477448, 0.18610189855098724, 0.010030427016317844, 0.05875791236758232, 0.7489476799964905, 0.01671811193227768, 0.0361064076423645, 0.024257544428110123, 0.00986789632588625, 0.5944705009460449, 0.011278711259365082, 0.057074349373579025, 0.875648558139801]","[0.017684053629636765, 0.05556540936231613, 0.014568483456969261, 0.436451256275177, 0.2849973440170288, 0.01948339305818081, 0.00851535052061081, 0.011936325579881668, 0.11213318258523941, 0.9430504441261292, 0.013224035501480103, 0.013546888716518879, 0.9093524217605591, 0.4299691617488861, 0.5010015964508057, 0.9530050754547119, 0.0099673205986619, 0.966851532459259, 0.015066806226968765, 0.029788151383399963]","[0.9032355546951294, 0.9043987989425659, 0.8456838726997375, 0.539172351360321, 0.6789503693580627, 0.658565878868103, 0.8696577548980713, 0.8949116468429565, 0.7017649412155151, 0.04691924527287483, 0.9280180931091309, 0.2375054508447647, 0.07392951101064682, 0.5339244604110718, 0.4747408628463745, 0.0371270515024662, 0.39556220173835754, 0.02186981961131096, 0.9278588891029358, 0.09456335008144379]"
18-12-2017 00:00,"[0.031160427257418633, 0.017501013353466988, 0.03157594054937363, 0.851283609867096, 0.7630334496498108, 0.0270758718252182, 0.030395252630114555, 0.03932703286409378, 0.03728456795215607, 0.018590735271573067, 0.009126439690589905, 0.39702704548835754, 0.06547631323337555, 0.3110642731189728, 0.011885137297213078, 0.040008436888456345, 0.04490384832024574, 0.3550293743610382, 0.1413220912218094, 0.010961659252643585, 0.05453978851437569, 0.9310264587402344, 0.014478598721325397, 0.020731817930936813, 0.016480814665555954, 0.12389481067657471, 0.06534486263990402, 0.017761480063199997, 0.02454134076833725, 0.010927821509540081, 0.09830782562494278, 0.010327902622520924, 0.10474662482738495, 0.05598624423146248, 0.03533138707280159, 0.021635960787534714, 0.027958814054727554, 0.1951039880514145, 0.19164730608463287, 0.14320887625217438]","[0.5048685073852539, 0.834547758102417, 0.1954406499862671, 0.08264563232660294, 0.19472196698188782, 0.0620255209505558, 0.07272665202617645, 0.534575343132019, 0.7057828903198242, 0.7854565978050232, 0.9581257104873657, 0.25147804617881775, 0.040487274527549744, 0.4572511613368988, 0.9670490622520447, 0.13724680244922638, 0.04490514472126961, 0.6102380156517029, 0.43885868787765503, 0.9606408476829529, 0.09055856615304947, 0.01870265230536461, 0.8681516051292419, 0.8080373406410217, 0.9166947603225708, 0.1974005401134491, 0.07224474102258682, 0.8927197456359863, 0.8747370839118958, 0.92850261926651, 0.5861542224884033, 0.9370101690292358, 0.020236173644661903, 0.017100399360060692, 0.06335664540529251, 0.6805046200752258, 0.19442836940288544, 0.022041931748390198, 0.016105065122246742, 0.04384441673755646]","[0.4639711081981659, 0.1479511559009552, 0.7729834318161011, 0.06607077270746231, 0.042244549840688705, 0.9108985662460327, 0.8968780636787415, 0.426097571849823, 0.2569325566291809, 0.19595272839069366, 0.032747846096754074, 0.3514948785305023, 0.8940364122390747, 0.2316845804452896, 0.0210658498108387, 0.8227447867393494, 0.910190999507904, 0.03473259508609772, 0.4198192059993744, 0.028397435322403908, 0.8549016714096069, 0.05027090758085251, 0.11736978590488434, 0.17123083770275116, 0.06682439893484116, 0.6787046790122986, 0.8624103665351868, 0.08951874077320099, 0.10072159022092819, 0.06056955084204674, 0.3155380189418793, 0.05266194045543671, 0.8750172257423401, 0.9269133806228638, 0.901311993598938, 0.29785940051078796, 0.7776128053665161, 0.7828540802001953, 0.7922476530075073, 0.8129466772079468]"
19-12-2017 00:00,"[0.52845299243927, 0.0711444765329361, 0.01870025135576725, 0.07818406820297241, 0.03339676186442375, 0.05374946445226669, 0.012627989053726196, 0.012150387279689312, 0.026062527671456337, 0.008104312233626842, 0.02238411270081997, 0.1123579740524292, 0.15092022716999054, 0.12549781799316406, 0.013220787048339844, 0.036643389612436295, 0.0691615641117096, 0.022311823442578316, 0.019558506086468697, 0.556696355342865]","[0.1480075567960739, 0.018141455948352814, 0.8633161187171936, 0.04955549165606499, 0.0241963230073452, 0.025057125836610794, 0.9667937159538269, 0.8444865942001343, 0.527699887752533, 0.9685893058776855, 0.25397300720214844, 0.14996832609176636, 0.020677771419286728, 0.08690591901540756, 0.9628019332885742, 0.098575659096241, 0.396158903837204, 0.8350350260734558, 0.9480045437812805, 0.01501383911818266]","[0.3235394358634949, 0.9107140302658081, 0.11798365414142609, 0.8722604513168335, 0.9424068927764893, 0.9211933612823486, 0.02057824283838272, 0.14336305856704712, 0.44623759388923645, 0.023306315764784813, 0.7236428260803223, 0.7376736402511597, 0.8284019827842712, 0.7875962853431702, 0.023977292701601982, 0.8647809624671936, 0.5346795320510864, 0.1426531970500946, 0.032436951994895935, 0.4282897710800171]"
20-12-2017 00:00,"[0.04880041256546974, 0.335614413022995, 0.019511017948389053, 0.12024316191673279, 0.6054763197898865, 0.007798591163009405, 0.6841924786567688, 0.011406474746763706, 0.1912779062986374, 0.07305608689785004, 0.010539994575083256, 0.0210475604981184, 0.142450213432312, 0.02096646837890148, 0.06494361162185669, 0.038522157818078995, 0.03166285157203674, 0.07257762551307678, 0.14267955720424652, 0.4272373914718628]","[0.04672257974743843, 0.05887686461210251, 0.8361209034919739, 0.057823680341243744, 0.3505503535270691, 0.9606181979179382, 0.014986110851168633, 0.9228202700614929, 0.019100598990917206, 0.5022074580192566, 0.9486556649208069, 0.3298020660877228, 0.031796980649232864, 0.9286825060844421, 0.8119698166847229, 0.5813751220703125, 0.669958770275116, 0.04612652212381363, 0.00936601497232914, 0.044241610914468765]","[0.9044770002365112, 0.6055087447166443, 0.144367977976799, 0.8219331502914429, 0.04397330805659294, 0.031583234667778015, 0.3008214235305786, 0.06577329337596893, 0.7896214127540588, 0.42473649978637695, 0.04080437123775482, 0.6491503715515137, 0.8257527947425842, 0.05035107210278511, 0.12308663874864578, 0.3801027536392212, 0.2983783781528473, 0.881295919418335, 0.8479544520378113, 0.5285210013389587]"
21-12-2017 00:00,"[0.30990365147590637, 0.030400350689888, 0.0967521220445633, 0.03287052735686302, 0.05504673346877098, 0.057049501687288284, 0.2250518947839737, 0.15991251170635223, 0.06164379045367241, 0.06533293426036835, 0.04821492359042168, 0.12330205738544464, 0.025094380602240562, 0.025743063539266586, 0.15863843262195587, 0.10645473748445511, 0.02912440523505211, 0.04400351271033287, 0.009115669876337051, 0.22488930821418762]","[0.11669674515724182, 0.497185081243515, 0.6577367186546326, 0.13968607783317566, 0.34739014506340027, 0.02590574137866497, 0.15121251344680786, 0.041058775037527084, 0.8032960891723633, 0.7063601613044739, 0.015139182098209858, 0.044761255383491516, 0.23086830973625183, 0.9291587471961975, 0.24549651145935059, 0.01348340418189764, 0.6646056771278381, 0.830947995185852, 0.9738359451293945, 0.5012894868850708]","[0.5733996629714966, 0.4724145531654358, 0.24551111459732056, 0.8274434208869934, 0.5975631475448608, 0.9170447587966919, 0.6237356066703796, 0.799028754234314, 0.13506010174751282, 0.22830697894096375, 0.9366458654403687, 0.8319366574287415, 0.7440373301506042, 0.0450981929898262, 0.5958650708198547, 0.8800618648529053, 0.30626988410949707, 0.12504848837852478, 0.01704842410981655, 0.2738211750984192]"
22-12-2017 00:00,"[0.08643820881843567, 0.014763942919671535, 0.177809938788414, 0.044232118874788284, 0.10833317041397095, 0.007700236048549414, 0.07722815126180649, 0.02868742309510708, 0.8738217949867249, 0.03154148906469345, 0.8798266649246216, 0.06511028110980988, 0.27984729409217834, 0.4166882336139679, 0.4172919690608978, 0.1384085863828659, 0.33659273386001587, 0.01398923248052597, 0.04481932520866394, 0.06702826172113419]","[0.0200241357088089, 0.9687325954437256, 0.03624437376856804, 0.05868014693260193, 0.030188942328095436, 0.9706997871398926, 0.022188866510987282, 0.05171683058142662, 0.021981194615364075, 0.4470337927341461, 0.009770328179001808, 0.020713267847895622, 0.007933203130960464, 0.07060495764017105, 0.5098010301589966, 0.007340907584875822, 0.14840173721313477, 0.9468138813972473, 0.9349010586738586, 0.9192538857460022]","[0.8935376405715942, 0.01650352030992508, 0.7859456539154053, 0.8970876932144165, 0.8614778518676758, 0.021599996834993362, 0.9005829691886902, 0.9195957779884338, 0.10419704765081406, 0.5214247107505798, 0.11040297895669937, 0.9141764044761658, 0.7122194766998291, 0.5127068161964417, 0.0729069858789444, 0.8542504906654358, 0.5150055289268494, 0.039196934551000595, 0.020279712975025177, 0.013717914000153542]"
22-12-2017 18:52,[0.034847989678382874],[0.06507565826177597],[0.9000763297080994]
22-12-2017 19:07,"[0.1676354706287384, 0.021185869351029396]","[0.013467684388160706, 0.5693462491035461]","[0.8188968300819397, 0.4094679057598114]"
25-12-2017 00:00,"[0.04408165067434311, 0.011128176935017109, 0.06373421102762222, 0.020802080631256104, 0.34228354692459106, 0.11965463310480118, 0.09398003667593002, 0.049215588718652725, 0.057657986879348755, 0.08895456790924072, 0.886516273021698, 0.0112602598965168, 0.044116824865341187, 0.04592825472354889, 0.014118057675659657, 0.04092572256922722, 0.6406252384185791, 0.8595107793807983, 0.018132470548152924, 0.01663266122341156]","[0.05418289452791214, 0.9554914236068726, 0.11721557378768921, 0.2250911295413971, 0.028051763772964478, 0.014179382473230362, 0.05667902156710625, 0.23947773873806, 0.029447074979543686, 0.5516225695610046, 0.015376844443380833, 0.9464495778083801, 0.058301229029893875, 0.5898429751396179, 0.9334808588027954, 0.02084263227880001, 0.04318387806415558, 0.03458099812269211, 0.7929025292396545, 0.8481795191764832]","[0.9017354846000671, 0.0333804190158844, 0.8190501928329468, 0.7541068196296692, 0.6296647191047668, 0.8661659955978394, 0.8493409752845764, 0.711306631565094, 0.9128949642181396, 0.35942280292510986, 0.09810690581798553, 0.04229021444916725, 0.897581934928894, 0.3642286956310272, 0.05240112170577049, 0.9382316470146179, 0.3161909878253937, 0.10590819269418716, 0.18896499276161194, 0.13518783450126648]"
26-12-2017 10:15,[0.0208544060587883],[0.702162504196167],[0.2769830822944641]
